num_context_tokens,num_decode_tokens,latency_ms
128,0,19.998
1024,0,38.538
3168,0,78.913
928,0,0.348
128,0,14.916
1024,0,34.942
3168,0,73.676
928,0,0.421
128,0,14.689
1024,0,34.428
3168,0,74.476
928,0,0.434
128,0,15.288
1024,0,35.736
3168,0,73.786
928,0,0.393
128,0,14.751
1024,0,34.748
3168,0,73.671
928,0,0.391
128,0,14.562
1024,0,34.272
3168,0,74.064
928,0,0.405
3168,0,79.828
928,0,1.706
0,1,3.263
0,1,3.608
0,1,3.626
0,1,3.663
0,1,3.636
0,1,3.653
0,1,3.654
3168,0,85.424
7264,0,70.671
5024,1,53.450
928,3,1.775
0,4,3.964
0,4,4.360
0,4,4.442
0,4,4.432
0,4,4.413
0,3,4.523
0,1,3.600
3168,0,91.970
928,0,43.822
3168,1,51.361
4096,1,43.219
7264,2,69.424
7136,3,102.043
7264,5,37.822
7136,6,69.925
7136,8,69.551
7136,9,70.503
7264,11,73.463
2912,11,40.189
928,12,2.777
0,11,5.401
0,10,6.412
0,8,4.951
0,6,5.238
0,4,4.291
0,3,4.401
0,1,3.591
3168,0,78.481
928,0,1.686
0,1,3.256
0,1,3.606
0,1,3.641
0,1,3.641
0,1,3.658
0,1,3.639
0,1,3.656
3168,0,81.357
7264,0,67.277
5024,1,52.507
928,3,1.576
0,4,3.954
0,4,4.353
0,4,4.313
0,4,4.351
0,4,4.499
0,3,4.482
0,1,3.607
3168,0,94.128
928,0,51.656
6336,1,50.583
7136,1,67.043
7264,3,68.697
7136,4,68.289
7136,6,70.138
7136,8,69.424
7264,10,70.536
7136,10,72.476
3968,12,48.837
928,12,1.881
0,12,5.864
0,10,6.401
0,8,4.839
0,6,4.977
0,5,5.170
0,3,4.361
0,1,3.600
3168,0,79.517
928,0,1.643
0,1,3.243
0,1,3.620
0,1,3.647
0,1,3.659
0,1,3.641
0,1,3.638
0,1,3.658
6336,0,104.306
8192,0,875.569
1856,2,2.249
0,4,3.895
0,4,4.259
0,4,4.339
0,4,4.324
0,4,4.411
0,4,4.394
0,2,3.864
3168,0,81.876
928,0,40.033
3168,1,39.603
7264,1,67.644
7136,2,67.551
7264,4,69.372
7136,5,70.298
7136,7,68.125
7136,9,69.929
7264,10,71.005
6080,11,63.458
1856,12,2.013
0,12,5.605
0,11,6.062
0,9,6.359
0,7,5.091
0,5,5.168
0,4,4.361
0,2,3.927
3168,0,80.193
928,0,1.687
0,1,3.249
0,1,3.635
0,1,3.611
0,1,3.641
0,1,3.628
0,1,3.640
0,1,3.666
3168,0,80.834
7264,0,67.108
5024,1,52.632
928,3,1.535
0,4,3.826
0,4,4.161
0,4,4.189
0,4,4.242
0,4,4.316
0,3,4.384
0,1,3.599
3168,0,80.717
928,0,2.440
0,1,3.242
0,1,3.660
0,1,3.618
0,1,3.657
0,1,3.633
0,1,3.642
0,1,3.647
6336,0,96.062
8192,0,74.085
7136,2,67.666
7264,4,70.185
7136,5,69.273
7136,7,68.712
7136,9,69.841
7264,11,71.817
2912,12,40.175
928,12,1.988
0,11,5.949
0,10,6.470
0,8,5.036
0,6,5.308
0,4,4.416
0,3,4.571
0,1,3.619
3168,0,80.654
928,0,1.786
0,1,3.254
0,1,3.632
0,1,3.628
0,1,3.662
0,1,3.640
0,1,3.643
0,1,3.642
3168,0,79.492
7264,0,67.564
5024,1,52.361
928,3,1.671
0,4,3.939
0,4,4.369
0,4,4.290
0,4,4.352
0,4,4.285
0,3,4.429
0,1,3.586
3168,0,98.821
4096,0,39.391
7264,1,67.213
7136,2,67.580
7264,4,69.089
7136,5,69.983
7136,7,68.741
7136,9,69.760
7264,11,71.421
6080,11,62.793
1856,12,1.910
0,12,5.844
0,11,6.373
0,9,6.373
0,7,5.112
0,5,5.158
0,4,4.384
0,2,3.919
3168,0,79.699
928,0,1.705
0,1,3.256
0,1,3.627
0,1,3.649
0,1,3.639
0,1,3.648
0,1,3.649
0,1,3.654
3168,0,79.203
7264,0,67.510
5024,1,52.512
928,3,1.596
0,4,4.040
0,4,4.387
0,4,4.364
0,4,4.410
0,4,4.493
0,3,4.515
0,1,3.586
3168,0,87.435
928,0,38.892
7392,1,67.135
7136,1,67.352
7136,3,68.041
7264,5,69.973
7136,6,69.295
7136,8,69.531
7136,10,69.961
7264,11,71.268
2912,12,51.152
928,12,2.693
0,11,5.569
0,10,6.297
0,8,4.909
0,6,5.249
0,4,4.397
0,3,4.513
0,1,3.605
1024,0,95.148
1056,1,43.800
8191,1,71.178
7265,5,69.353
8183,9,113.999
7305,11,42.114
8064,13,77.817
7200,17,70.915
8173,19,78.897
8171,21,79.265
7208,27,73.826
1984,30,38.892
928,31,2.959
0,32,6.147
0,32,7.143
0,32,7.169
0,32,7.123
0,32,7.167
0,32,7.199
0,32,7.234
0,32,7.298
0,32,7.285
0,32,7.370
0,32,7.267
0,32,7.311
0,32,7.300
0,32,7.313
0,32,7.411
0,32,7.469
0,32,7.613
0,32,7.471
0,32,7.518
0,31,7.434
0,31,43.431
3168,27,47.810
928,23,39.352
6272,22,67.036
7168,22,72.751
7168,21,75.636
6144,22,64.907
7136,22,72.436
6272,20,66.529
4928,18,54.901
7296,21,72.744
8170,22,81.266
7222,26,72.349
4000,28,51.303
928,31,2.093
0,32,6.759
0,32,7.136
0,32,7.325
0,32,7.069
0,32,7.270
0,32,7.099
0,32,7.178
0,32,7.106
0,32,7.271
0,32,7.339
0,32,7.291
0,32,7.340
0,32,7.412
0,32,7.379
0,32,7.459
0,32,7.373
0,32,7.522
0,32,7.201
0,32,7.512
0,31,7.589
0,29,7.767
0,26,7.695
0,23,7.003
0,21,7.139
0,17,7.231
0,16,6.262
0,12,6.085
0,10,6.170
0,6,4.874
0,4,4.137
0,1,3.582
7392,0,115.711
3168,0,21.083
303,0,2.034
0,1,3.292
0,1,3.680
0,1,3.694
0,1,3.677
0,1,3.700
0,1,3.702
0,1,3.704
0,1,3.676
0,1,3.679
0,1,3.696
0,1,3.699
0,1,3.700
0,1,3.692
0,1,3.691
0,1,3.695
0,1,3.685
0,1,3.691
0,1,3.684
0,1,3.696
0,1,3.705
0,1,3.707
0,1,3.681
0,1,3.689
0,1,3.690
0,1,3.702
0,1,3.672
0,1,3.686
0,1,3.701
0,1,3.675
0,1,3.693
0,1,3.687
0,1,3.698
0,1,3.682
0,1,3.693
0,1,3.681
0,1,3.691
0,1,3.692
0,1,3.678
0,1,3.700
0,1,3.694
0,1,3.687
0,1,3.694
0,1,3.692
0,1,3.684
0,1,3.697
0,1,3.696
0,1,3.676
0,1,3.689
0,1,3.702
0,1,3.677
0,1,3.693
0,1,3.701
0,1,3.690
0,1,3.680
0,1,3.712
0,1,19.165
274,1,1.468
0,2,3.646
0,2,4.039
0,2,4.023
0,2,4.047
0,2,4.044
0,2,4.033
0,2,4.054
0,2,4.040
0,2,4.046
0,2,4.038
0,2,4.056
0,2,4.053
0,2,4.042
0,2,4.060
0,2,4.042
0,2,4.065
0,2,45.735
8034,2,76.316
7392,3,74.297
7877,3,75.895
7210,4,74.940
8068,5,85.259
7545,7,74.633
8015,8,81.809
7392,10,80.028
7160,10,76.327
7392,11,82.182
7796,11,76.068
7263,12,75.762
8043,14,81.935
7772,15,80.015
8175,17,80.052
7483,19,78.230
7392,25,78.394
7602,25,82.122
7824,26,80.169
6769,28,56.624
461,31,10.513
0,32,8.133
0,32,8.298
0,32,8.262
0,32,8.297
0,32,8.156
0,32,8.245
0,31,8.115
0,31,23.300
105,31,5.157
0,32,8.151
0,32,8.228
0,32,8.359
0,32,8.259
0,32,8.361
0,32,8.133
0,32,8.308
0,32,8.048
0,32,8.303
0,32,8.270
0,32,8.344
0,32,8.307
0,32,8.320
0,32,8.307
0,32,8.309
0,32,8.491
0,32,8.248
0,32,8.180
0,32,8.295
0,32,8.391
0,32,8.395
0,32,8.420
0,32,8.451
0,32,8.300
0,32,8.377
0,32,8.254
0,32,8.421
0,32,8.457
0,32,8.375
0,32,8.395
0,32,8.436
0,32,8.375
0,32,8.479
0,32,8.521
0,32,8.405
0,32,9.472
0,32,8.457
0,32,8.355
0,32,8.485
0,32,8.407
0,32,8.315
0,32,8.416
0,32,8.311
0,32,8.390
0,32,8.356
0,32,8.275
0,32,8.624
0,32,8.458
0,32,8.494
0,32,8.532
0,32,8.595
0,32,8.372
0,32,8.694
0,31,9.045
0,31,45.391
7392,31,80.509
3168,31,50.828
910,31,2.102
0,32,8.162
0,32,8.353
0,32,8.467
0,32,8.475
0,32,8.412
0,32,8.441
0,32,8.512
0,32,8.521
0,32,8.621
0,32,8.417
0,32,8.602
0,32,8.617
0,32,8.642
0,32,8.623
0,32,8.477
0,32,8.582
0,32,8.681
0,32,8.657
0,32,8.572
0,32,8.622
0,31,8.671
0,31,24.001
293,31,8.074
0,31,8.622
0,31,44.822
1056,30,18.209
218,30,43.511
1027,31,2.159
0,31,8.009
0,31,22.809
101,30,6.442
0,30,22.737
100,30,42.478
1056,31,17.782
152,31,6.531
0,32,8.520
0,32,8.713
0,32,8.734
0,32,8.691
0,32,8.692
0,32,8.811
0,31,8.812
0,31,22.679
100,31,7.536
0,32,8.709
0,32,8.781
0,32,8.877
0,32,8.686
