framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,256,1,16,4,128,1,bfloat16,bfloat16,7,0.01720000058412552
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,128,1,1,1,256,1,bfloat16,bfloat16,1,0.009178666397929192
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,32,1,16,1,128,1,bfloat16,bfloat16,63,0.007040000210205714
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,512,1,8,4,256,1,bfloat16,bfloat16,15,0.04518933097521464
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,128,1,24,2,256,1,bfloat16,bfloat16,511,0.027717334528764088
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,128,1,1,1,256,1,bfloat16,bfloat16,8191,0.1564959983030955
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,16,1,8,1,128,1,bfloat16,fp8,65535,0.07860266665617625
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,1,1,4,2,128,1,bfloat16,fp8,65535,0.027274665733178455
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,4,1,2,2,256,1,bfloat16,fp8,3,0.009002666920423508
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,32,1,1,1,256,1,bfloat16,fp8,511,0.013125333935022354
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,128,1,8,8,128,1,bfloat16,fp8,2047,0.140255997578303
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,4,1,4,2,128,1,bfloat16,fp8,7,0.007776000226537387
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,64,1,8,1,256,1,bfloat16,fp8,511,0.014981333166360855
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,16,1,4,2,256,1,bfloat16,fp8,1023,0.014938666174809137
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,32,1,8,2,256,1,bfloat16,fp8,1,0.008853333070874214
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,128,1,24,4,256,1,bfloat16,fp8,63,0.02143466720978419
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,4,1,48,4,256,1,bfloat16,fp8,7,0.008997333546479544
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,2,1,8,4,128,1,bfloat16,fp8,1023,0.00926399976015091
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,4,1,24,4,256,1,bfloat16,fp8,2047,0.01563199982047081
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,1,1,12,1,256,1,bfloat16,fp8,8191,0.01738133281469345
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,64,1,40,8,256,1,bfloat16,fp8,15,0.02102400114138921
