framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,32,16,40,8,256,1,bfloat16,bfloat16,0,0.035760000348091125
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,2,16384,1,1,128,1,bfloat16,bfloat16,0,0.19265600045522055
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,256,64,16,8,128,1,bfloat16,bfloat16,0,0.10769066214561462
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,16,32,48,1,256,1,bfloat16,bfloat16,0,0.02515200028816859
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,2048,32,8,256,1,bfloat16,bfloat16,0,0.21254400412241617
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,1,1024,8,2,128,1,bfloat16,bfloat16,0,0.021151999632517498
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,8192,64,8,256,1,bfloat16,bfloat16,0,4.585376103719075
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,32,1536,8,8,256,1,bfloat16,bfloat16,0,0.3057493368784587
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,8,16384,64,1,256,1,bfloat16,bfloat16,0,33.43526967366537
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,1,1536,40,2,256,1,bfloat16,fp8,0,0.06857066849867503
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,32,128,48,1,256,1,bfloat16,fp8,0,0.07732800145943959
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,16,64,64,256,1,bfloat16,fp8,0,0.14400532841682434
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,16,16,8,256,1,bfloat16,fp8,0,0.027461332579453785
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,32,32,40,40,256,1,bfloat16,fp8,0,0.15865600109100342
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,32,128,48,4,256,1,bfloat16,fp8,0,0.08733866612116496
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,2,8192,64,8,128,1,bfloat16,fp8,0,1.4822293917338054
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,128,128,48,2,256,1,bfloat16,fp8,0,0.2605866591135661
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,64,1,64,8,128,1,bfloat16,fp8,0,0.01309866706530253
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,256,1,32,1,128,1,bfloat16,fp8,0,0.014485333114862442
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,128,1,16,16,128,1,bfloat16,fp8,0,0.0314026673634847
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,16,2048,24,4,256,1,bfloat16,fp8,0,0.6419893503189087
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,2,12288,4,4,128,1,bfloat16,fp8,0,0.30031466484069824
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,1024,16,2,128,1,bfloat16,fp8,0,0.039605334401130676
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,8,16,48,8,128,1,bfloat16,fp8,0,0.027514666318893433
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,2,16384,4,4,256,1,bfloat16,fp8,0,0.7156319618225098
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,32,1536,2,2,128,1,bfloat16,fp8,0,0.07130666573842366
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,256,1,48,2,256,1,bfloat16,fp8,0,0.029279999434947968
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,2,6144,48,8,128,1,bfloat16,fp8,0,0.7010133266448975
