framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,96,6144,16384,2,8,16,1,power_law_1.01,0.040249601006507874
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,128,6144,16384,2,8,16,1,power_law_1.01,0.0440447986125946
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,160,6144,16384,2,8,16,1,power_law_1.01,0.0438400000333786
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,192,6144,16384,2,8,16,1,power_law_1.01,0.044889599084854126
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,256,6144,16384,2,8,16,1,power_law_1.01,0.04933759868144989
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,2048,4096,14336,2,8,16,1,power_law_1.01,0.07587839961051941
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,320,6144,16384,2,8,16,1,power_law_1.01,0.04881280064582825
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,384,6144,16384,2,8,16,1,power_law_1.01,0.05177599787712097
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,512,6144,16384,2,8,16,1,power_law_1.01,0.05676800012588501
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,768,6144,16384,2,8,16,1,power_law_1.01,0.06373760104179382
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,1,7168,2048,8,384,4,1,balanced,0.05399466554323832
