framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,256,0.02002239942550659,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,512,0.0070646399259567255,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,512,0.02052000045776367,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,1024,0.007263039946556091,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,1024,0.020443201065063477,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,2048,0.007360640168190003,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,2048,0.020152320861816404,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,4096,0.00741312026977539,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,4096,0.02009727954864502,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,8192,0.0075718402862548825,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,8192,0.020622398853302002,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,16384,0.00745311975479126,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,16384,0.020482239723205568,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,32768,0.0077497601509094235,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,32768,0.020577600002288816,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,65536,0.008218560218811035,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,65536,0.020757761001586914,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,131072,0.00861792027950287,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,131072,0.020448958873748778,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,262144,0.018147200345993042,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,262144,0.02556607961654663,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,524288,0.018460160493850707,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,524288,0.02584287881851196,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,1048576,0.023740479946136477,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,1048576,0.03645503997802734,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,2097152,0.029780800342559817,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,2097152,0.037052159309387205,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,4194304,0.043380479812622066,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,4194304,0.0504527997970581,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,8388608,0.06718143939971924,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,8388608,0.07489696025848389,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,16777216,0.12348832130432127,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,16777216,0.13571807861328125,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,33554432,0.18770687103271483,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,33554432,0.21198144912719727,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,67108864,0.35451393127441405,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,67108864,0.39821758270263674,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,134217728,0.677838363647461,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,134217728,0.7623919677734375,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,268435456,1.2966021728515624,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,268435456,1.4659475708007812,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,536870912,2.5323609924316406,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,536870912,2.8641809082031253,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,128,0.0073942399024963384,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,128,0.02135711908340454,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,256,0.0074867200851440425,vllm_graph
