phase,workload_segment,counter_id,worker_id,dp_rank,ctx_tokens,ctx_requests,ctx_kv_tokens,decode_tokens,decode_requests,decode_kv_tokens,mean_decode_kv_tokens,queued_ctx_tokens,queued_ctx_requests,queued_decode_requests,queued_decode_kv_tokens,latency_ms
decode,sweep,1127,6455747604434466821,0,0,0,0,1,1,4096,4096.000,0,0,0,0,8.380
decode,sweep,1128,6455747604434466821,0,0,0,0,1,1,4097,4097.000,0,0,0,0,8.474
decode,sweep,1129,6455747604434466821,0,0,0,0,1,1,4098,4098.000,0,0,0,0,8.524
decode,sweep,1130,6455747604434466821,0,0,0,0,1,1,4099,4099.000,0,0,0,0,8.507
decode,sweep,1131,6455747604434466821,0,0,0,0,1,1,4100,4100.000,0,0,0,0,8.449
decode,sweep,1132,6455747604434466821,0,0,0,0,1,1,4101,4101.000,0,0,0,0,8.471
decode,sweep,1133,6455747604434466821,0,0,0,0,1,1,4102,4102.000,0,0,0,0,8.556
context,sweep,1140,6455747604434466821,0,4096,1,0,0,0,0,0.000,4096,1,0,0,322.815
mixed,sweep,1141,6455747604434466821,0,8191,2,0,1,1,4096,4096.000,0,0,0,0,246.908
mixed,sweep,1142,6455747604434466821,0,4097,2,4095,2,2,8193,4096.500,0,0,0,0,92.781
decode,sweep,1143,6455747604434466821,0,0,0,0,4,4,16387,4096.750,0,0,0,0,29.470
decode,sweep,1144,6455747604434466821,0,0,0,0,4,4,16391,4097.750,0,0,0,0,29.941
decode,sweep,1145,6455747604434466821,0,0,0,0,4,4,16395,4098.750,0,0,0,0,33.022
decode,sweep,1146,6455747604434466821,0,0,0,0,4,4,16399,4099.750,0,0,0,0,29.954
decode,sweep,1147,6455747604434466821,0,0,0,0,4,4,16403,4100.750,0,0,0,0,30.169
decode,sweep,1148,6455747604434466821,0,0,0,0,3,3,12304,4101.333,0,0,0,0,29.983
decode,sweep,1149,6455747604434466821,0,0,0,0,2,2,8204,4102.000,0,0,0,0,9.198
context,sweep,1156,6455747604434466821,0,4096,1,0,0,0,0,0.000,53248,13,0,0,321.643
mixed,sweep,1157,6455747604434466821,0,8191,2,0,1,1,4096,4096.000,45056,11,0,0,310.820
mixed,sweep,1158,6455747604434466821,0,8190,3,4095,2,2,8193,4096.500,36864,9,0,0,310.776
mixed,sweep,1159,6455747604434466821,0,8188,3,4093,4,4,16387,4096.750,28672,7,0,0,310.933
mixed,sweep,1160,6455747604434466821,0,8186,3,4089,6,6,24583,4097.167,20480,5,0,0,310.792
mixed,sweep,1161,6455747604434466821,0,8184,3,4083,8,8,32781,4097.625,12288,3,0,0,311.115
mixed,sweep,1162,6455747604434466821,0,8182,3,4075,10,10,40981,4098.100,4096,1,0,0,311.173
mixed,sweep,1163,6455747604434466821,0,8180,3,4065,12,12,49183,4098.583,0,0,0,0,247.985
mixed,sweep,1164,6455747604434466821,0,4139,2,4053,13,13,53284,4098.769,0,0,0,0,93.280
decode,sweep,1165,6455747604434466821,0,0,0,0,14,14,57386,4099.000,0,0,0,0,30.280
decode,sweep,1166,6455747604434466821,0,0,0,0,12,12,49194,4099.500,0,0,0,0,11.618
decode,sweep,1167,6455747604434466821,0,0,0,0,10,10,41000,4100.000,0,0,0,0,29.340
decode,sweep,1168,6455747604434466821,0,0,0,0,8,8,32804,4100.500,0,0,0,0,29.946
decode,sweep,1169,6455747604434466821,0,0,0,0,6,6,24606,4101.000,0,0,0,0,12.641
decode,sweep,1170,6455747604434466821,0,0,0,0,4,4,16406,4101.500,0,0,0,0,6.912
decode,sweep,1171,6455747604434466821,0,0,0,0,2,2,8204,4102.000,0,0,0,0,9.185
context,sweep,1177,6455747604434466821,0,4096,1,0,0,0,0,0.000,0,0,0,0,174.996
decode,sweep,1178,6455747604434466821,0,0,0,0,1,1,4096,4096.000,0,0,0,0,8.443
decode,sweep,1179,6455747604434466821,0,0,0,0,1,1,4097,4097.000,0,0,0,0,8.460
decode,sweep,1180,6455747604434466821,0,0,0,0,1,1,4098,4098.000,0,0,0,0,8.492
decode,sweep,1181,6455747604434466821,0,0,0,0,1,1,4099,4099.000,0,0,0,0,8.533
decode,sweep,1182,6455747604434466821,0,0,0,0,1,1,4100,4100.000,0,0,0,0,8.473
decode,sweep,1183,6455747604434466821,0,0,0,0,1,1,4101,4101.000,0,0,0,0,8.483
decode,sweep,1184,6455747604434466821,0,0,0,0,1,1,4102,4102.000,0,0,0,0,8.565
context,sweep,1191,6455747604434466821,0,4096,1,0,0,0,0,0.000,4096,1,0,0,322.606
mixed,sweep,1192,6455747604434466821,0,8191,2,0,1,1,4096,4096.000,0,0,0,0,246.900
mixed,sweep,1193,6455747604434466821,0,4097,2,4095,2,2,8193,4096.500,0,0,0,0,92.775
decode,sweep,1194,6455747604434466821,0,0,0,0,4,4,16387,4096.750,0,0,0,0,33.381
decode,sweep,1195,6455747604434466821,0,0,0,0,4,4,16391,4097.750,0,0,0,0,30.055
decode,sweep,1196,6455747604434466821,0,0,0,0,4,4,16395,4098.750,0,0,0,0,29.884
decode,sweep,1197,6455747604434466821,0,0,0,0,4,4,16399,4099.750,0,0,0,0,10.130
decode,sweep,1198,6455747604434466821,0,0,0,0,4,4,16403,4100.750,0,0,0,0,9.012
decode,sweep,1199,6455747604434466821,0,0,0,0,3,3,12304,4101.333,0,0,0,0,11.625
decode,sweep,1200,6455747604434466821,0,0,0,0,2,2,8204,4102.000,0,0,0,0,6.825
context,sweep,1207,6455747604434466821,0,4096,1,0,0,0,0,0.000,53248,13,0,0,325.757
mixed,sweep,1208,6455747604434466821,0,8191,2,0,1,1,4096,4096.000,45056,11,0,0,310.755
mixed,sweep,1209,6455747604434466821,0,8190,3,4095,2,2,8193,4096.500,36864,9,0,0,311.070
mixed,sweep,1210,6455747604434466821,0,8188,3,4093,4,4,16387,4096.750,28672,7,0,0,310.892
mixed,sweep,1211,6455747604434466821,0,8186,3,4089,6,6,24583,4097.167,20480,5,0,0,310.885
mixed,sweep,1212,6455747604434466821,0,8184,3,4083,8,8,32781,4097.625,12288,3,0,0,311.032
mixed,sweep,1213,6455747604434466821,0,8182,3,4075,10,10,40981,4098.100,4096,1,0,0,311.300
mixed,sweep,1214,6455747604434466821,0,8180,3,4065,12,12,49183,4098.583,0,0,0,0,248.045
mixed,sweep,1215,6455747604434466821,0,4139,2,4053,13,13,53284,4098.769,0,0,0,0,93.275
decode,sweep,1216,6455747604434466821,0,0,0,0,14,14,57386,4099.000,0,0,0,0,31.604
decode,sweep,1217,6455747604434466821,0,0,0,0,12,12,49194,4099.500,0,0,0,0,32.867
decode,sweep,1218,6455747604434466821,0,0,0,0,10,10,41000,4100.000,0,0,0,0,36.270
decode,sweep,1219,6455747604434466821,0,0,0,0,8,8,32804,4100.500,0,0,0,0,17.482
decode,sweep,1220,6455747604434466821,0,0,0,0,6,6,24606,4101.000,0,0,0,0,9.814
decode,sweep,1221,6455747604434466821,0,0,0,0,4,4,16406,4101.500,0,0,0,0,10.914
decode,sweep,1222,6455747604434466821,0,0,0,0,2,2,8204,4102.000,0,0,0,0,7.734
context,sweep,1229,6455747604434466821,0,4096,1,0,0,0,0,0.000,0,0,0,0,176.022
