workload_label,request_index,endpoint,target_isl,target_osl,prompt_tokens,max_tokens,prompt_token_mode,shape_source
decode_b16,49,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,50,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,51,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,52,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,53,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,54,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,55,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,56,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,57,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,58,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,59,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,60,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,61,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,62,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,63,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b1,64,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,65,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,66,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,67,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,68,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,69,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,70,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,71,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,72,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,73,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,74,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,75,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,76,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,77,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,78,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,79,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,80,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,81,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,82,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,83,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,84,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b1,85,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,86,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,87,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,88,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,89,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,90,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,91,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,92,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,93,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,94,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,95,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,96,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,97,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
