num_context_tokens,num_decode_tokens,latency_ms
0,32,13.420
0,32,13.387
0,32,13.389
0,32,13.391
0,32,13.411
0,32,13.397
0,32,13.383
0,32,13.375
0,32,13.408
0,32,13.416
0,32,13.408
0,32,13.385
0,32,13.394
0,32,13.392
0,32,13.405
0,32,13.401
0,32,13.427
0,32,13.390
0,32,13.413
0,32,13.397
0,32,13.405
0,32,13.398
0,32,13.414
0,32,13.401
0,32,13.418
0,32,13.387
0,32,13.379
0,32,13.424
0,32,13.416
0,32,13.405
0,32,13.417
0,32,13.376
0,32,13.379
0,32,13.435
0,32,13.473
0,31,13.419
0,31,13.281
8161,31,237.052
1280,31,60.314
0,31,14.170
0,30,13.756
8162,30,247.492
8162,30,251.543
58,31,22.907
0,32,15.031
0,32,14.703
0,32,13.929
0,32,13.874
0,32,13.841
0,32,13.716
0,32,13.546
0,32,13.531
0,32,13.483
0,32,13.506
0,32,13.537
0,32,13.482
0,32,13.526
0,32,13.500
0,32,13.524
0,32,13.500
0,32,13.542
0,32,13.504
0,32,13.560
0,31,13.462
0,31,13.418
164,31,17.387
0,32,13.498
0,32,13.438
0,32,13.477
0,32,13.458
0,32,13.467
0,32,13.469
0,32,13.463
0,32,13.479
0,32,13.462
0,32,13.491
0,32,13.472
0,32,13.451
0,32,13.502
0,32,13.481
0,32,13.463
0,32,13.507
0,32,13.467
0,32,13.423
0,32,13.501
0,32,13.450
0,32,13.523
0,32,13.422
0,32,13.481
0,32,13.479
0,32,13.449
0,32,13.509
0,32,13.459
0,32,13.493
0,32,13.485
0,32,13.496
0,32,13.471
0,32,13.475
0,32,13.474
0,32,13.501
0,32,13.452
0,32,13.545
0,31,13.449
0,31,13.435
642,31,34.887
0,32,13.550
0,31,13.347
0,31,13.375
7438,31,220.967
0,32,14.729
0,32,14.720
0,32,14.427
0,32,13.869
0,32,13.844
0,32,13.846
0,32,13.809
0,32,13.528
0,32,13.472
0,32,13.499
0,32,13.438
0,32,13.456
0,32,13.510
0,32,13.446
0,32,13.483
0,32,13.442
0,32,13.498
0,32,13.482
0,32,13.442
0,32,13.524
0,32,13.447
0,32,13.486
0,32,13.469
0,32,13.474
0,32,13.485
0,32,13.494
0,32,13.470
0,32,13.489
0,32,13.471
0,31,13.496
0,31,13.372
8161,31,237.741
3622,31,140.347
0,32,14.744
0,32,14.835
0,32,14.854
0,32,14.474
0,32,13.865
0,32,13.771
0,32,13.844
0,31,13.437
0,31,13.467
335,31,19.670
0,32,13.463
0,32,13.449
0,32,13.484
0,32,13.502
0,32,13.481
0,32,13.516
0,32,13.502
0,32,13.454
0,32,13.480
0,32,13.494
0,32,13.493
0,32,13.459
0,32,13.501
0,32,13.495
0,32,13.481
0,32,13.492
0,32,13.466
0,32,13.462
0,32,13.482
0,32,13.493
0,32,13.498
0,32,13.495
0,32,13.517
0,32,13.470
0,32,13.479
0,32,13.660
0,31,12.895
0,31,12.965
239,31,17.803
0,32,13.039
0,32,12.992
0,32,13.025
0,32,13.019
0,32,12.992
0,32,13.010
0,32,13.020
0,32,12.986
0,32,13.058
0,32,12.990
0,32,13.033
0,32,13.053
0,32,13.079
0,32,13.067
0,32,13.100
0,32,13.058
0,32,13.090
0,32,13.102
0,32,13.081
0,32,13.047
0,32,13.060
0,32,13.099
0,32,13.078
0,32,13.087
0,32,13.061
0,32,13.095
0,32,13.171
0,31,12.982
0,31,13.007
1085,31,38.383
0,32,13.312
0,32,13.300
0,32,13.277
0,32,13.177
0,32,13.132
0,32,13.030
0,32,13.080
0,32,13.049
0,32,13.017
0,32,13.062
0,32,13.023
0,32,13.086
0,32,13.030
0,32,13.023
0,32,13.079
0,32,13.036
0,32,13.033
0,32,13.046
0,32,13.082
0,32,13.039
0,32,13.017
0,32,13.036
0,32,13.046
0,32,13.067
0,32,13.037
0,32,13.033
0,32,13.028
0,32,13.077
0,32,13.063
0,32,13.019
0,32,13.055
0,32,13.087
0,32,13.024
0,32,13.046
0,32,13.033
0,32,13.048
0,32,13.056
0,32,13.034
0,32,13.081
0,32,13.025
0,32,13.086
0,32,13.068
0,32,13.064
0,32,13.088
0,31,13.030
0,31,13.008
467,31,20.829
0,32,13.025
0,32,13.119
0,32,13.131
0,32,13.096
0,32,13.037
0,32,13.063
0,32,13.032
0,32,13.057
0,32,13.003
0,32,13.035
0,32,13.059
0,32,13.030
0,32,13.073
0,32,13.030
0,32,13.029
0,32,13.075
0,32,13.041
0,32,13.034
0,32,13.051
0,32,13.041
0,32,13.041
0,32,13.051
0,32,13.050
0,32,13.039
0,32,13.030
0,32,13.025
0,32,13.064
0,32,13.031
0,32,13.099
0,32,13.058
0,32,13.036
0,32,13.024
0,32,13.024
0,32,13.083
0,32,13.021
0,32,13.055
0,32,13.049
0,32,13.068
0,32,13.058
0,32,13.020
0,32,13.070
0,32,13.015
0,32,13.101
0,32,13.025
0,32,13.056
0,32,13.081
0,32,13.042
0,32,13.222
0,31,12.868
0,31,12.975
123,31,16.527
0,32,13.017
0,32,12.980
0,32,12.994
0,32,13.007
0,32,12.979
0,32,12.977
0,32,13.010
0,32,12.974
0,32,13.012
0,32,12.976
0,32,12.997
0,32,12.994
0,32,12.979
0,32,13.020
0,32,12.985
0,32,12.981
0,32,12.995
0,32,12.992
0,32,13.012
0,32,12.966
0,32,13.153
0,30,12.835
0,30,12.893
8162,30,229.663
8161,31,290.203
1656,31,83.613
0,32,14.085
0,32,14.061
0,32,13.654
0,32,13.598
0,32,13.572
0,32,13.491
0,32,13.331
0,32,13.319
0,32,13.218
0,32,13.178
0,32,13.245
0,32,13.213
0,32,13.188
0,32,13.250
0,31,13.238
0,31,13.184
8161,31,239.478
3940,31,152.523
0,32,14.410
0,32,14.432
0,32,14.455
0,32,13.977
0,32,13.731
0,31,13.629
0,31,13.393
8161,31,238.333
3309,31,124.853
0,32,14.446
0,32,14.503
0,32,14.485
0,32,14.292
0,32,13.669
0,32,13.554
0,32,13.457
0,32,13.436
0,32,13.403
0,32,13.407
0,32,13.364
0,32,13.386
0,32,13.394
0,32,13.447
0,32,13.319
0,32,13.410
0,32,13.379
0,32,13.362
0,32,13.427
0,32,13.333
0,32,13.405
0,32,13.351
0,32,13.396
0,32,13.400
0,32,13.396
0,32,13.341
0,32,13.395
0,32,13.394
0,32,13.412
0,32,13.363
0,32,13.375
0,32,13.385
0,32,13.387
0,32,13.392
0,32,13.403
0,32,13.382
0,32,13.410
0,32,13.406
0,32,13.392
0,32,13.406
0,32,13.379
0,32,13.417
0,32,13.419
0,32,13.369
0,32,13.379
0,32,13.398
0,32,13.406
0,31,13.407
0,31,13.355
8161,31,238.797
3003,31,115.620
0,32,14.569
0,32,14.278
0,32,14.327
0,32,14.292
0,32,14.005
0,32,13.653
0,32,13.582
0,32,13.509
0,32,13.516
0,32,13.475
0,32,13.499
0,32,13.503
0,32,13.485
0,32,13.457
0,32,13.467
0,32,13.517
0,32,13.476
0,32,13.485
0,32,13.485
0,32,13.504
0,32,13.471
0,32,13.478
0,32,13.508
0,32,13.450
0,32,13.519
0,32,13.477
0,32,13.477
0,32,13.484
0,32,13.486
0,32,13.494
0,32,13.498
0,32,13.515
0,32,13.441
0,32,13.496
0,32,13.492
0,32,13.494
0,32,13.477
0,32,13.478
0,32,13.484
0,32,13.483
0,32,13.484
0,32,13.490
0,32,13.540
0,32,13.474
0,32,13.482
0,32,13.502
0,32,13.474
0,32,13.519
0,32,13.447
0,32,13.524
0,32,13.492
0,32,13.486
0,32,13.536
0,32,13.457
0,32,13.488
0,32,13.506
0,32,13.499
0,32,13.554
0,32,13.563
0,32,13.573
0,32,13.587
0,32,13.569
0,32,13.524
0,32,13.592
0,32,13.536
0,32,13.561
0,32,13.578
0,32,13.582
0,32,13.554
0,32,13.547
0,32,13.555
0,32,13.573
0,32,13.561
0,32,13.573
0,32,13.541
0,32,13.614
0,31,13.561
0,31,13.510
817,31,33.949
0,32,13.802
0,32,13.977
0,31,13.555
0,31,13.518
107,31,16.590
0,32,13.497
0,32,13.455
0,32,13.480
0,32,13.472
0,32,13.487
0,32,13.451
0,32,13.477
0,32,13.474
0,32,13.482
0,32,13.465
0,32,13.485
0,32,13.488
0,32,13.484
0,32,13.497
0,32,13.456
0,32,13.588
0,31,13.364
0,31,13.395
8161,31,239.064
490,31,36.189
0,32,14.130
0,32,14.131
0,32,13.967
0,32,13.867
0,32,13.727
0,32,13.624
0,32,13.514
0,32,13.509
0,32,13.486
0,32,13.489
0,32,13.523
0,32,13.481
0,32,13.538
0,32,13.464
0,32,13.477
0,32,13.537
0,32,13.493
0,32,13.496
0,32,13.490
0,32,13.493
0,32,13.564
0,32,13.443
0,32,13.522
0,32,13.517
0,32,13.494
0,32,13.589
0,31,13.445
0,31,13.415
8161,31,237.915
2702,31,106.096
0,32,14.671
0,32,14.714
0,32,14.664
0,32,14.684
0,32,13.989
0,32,13.702
0,32,13.655
0,32,13.602
0,32,13.584
0,32,13.572
0,32,13.564
0,32,13.566
0,32,13.578
0,32,13.563
0,32,13.554
0,32,13.594
0,32,13.548
0,32,13.572
0,32,13.615
0,32,13.526
0,32,13.579
0,32,13.553
0,32,13.638
0,32,13.506
0,32,13.531
0,32,13.574
0,32,13.566
0,32,13.594
0,32,13.554
0,32,13.557
0,32,13.549
0,32,13.581
0,32,13.569
0,32,13.782
0,31,13.108
