framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,32,7168,2048,8,384,8,1,balanced,1.66322660446167
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,96,4096,14336,2,8,2,1,power_law_1.2,2.1641471862792967
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,2,7168,2048,8,384,4,1,power_law_1.01,0.2311232089996338
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,32,6144,2560,8,160,1,4,power_law_1.2,1.6830528259277344
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,128,4096,14336,2,8,2,1,power_law_1.2,2.294483184814453
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,4,7168,2048,8,384,4,1,power_law_1.01,0.42145280838012694
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,2,7168,2048,8,256,32,1,power_law_1.01,0.07066879868507385
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,8,7168,2048,8,384,4,1,power_law_1.01,0.8080127716064454
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,160,4096,14336,2,8,2,1,power_law_1.2,2.2920703887939453
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,4,7168,2048,8,256,32,1,power_law_1.01,0.1091007947921753
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,8,7168,2048,8,256,32,1,power_law_1.01,0.1945855975151062
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,16,7168,2048,8,384,4,1,power_law_1.01,1.464089584350586
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,192,4096,14336,2,8,2,1,power_law_1.2,2.398873519897461
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,16,7168,2048,8,256,32,1,power_law_1.01,0.30415360927581786
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,32,7168,2048,8,256,32,1,power_law_1.01,0.4304704189300537
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,32,7168,2048,8,384,4,1,power_law_1.01,2.050079917907715
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,48,4096,1536,8,128,1,32,balanced,0.13091199596722922
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,256,4096,14336,2,8,2,1,power_law_1.2,2.8450368881225585
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,64,4096,1536,8,128,1,32,balanced,0.13297067085901895
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,48,6144,2560,8,160,1,4,power_law_1.2,1.8209215164184571
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,320,4096,14336,2,8,2,1,power_law_1.2,3.506041717529297
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,64,6144,2560,8,160,1,4,power_law_1.2,1.8693632125854491
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,48,7168,2048,8,256,1,64,power_law_1.2,0.27160959243774413
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,64,7168,2048,8,256,1,64,power_law_1.2,0.25867519378662107
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,384,4096,14336,2,8,2,1,power_law_1.2,3.7637313842773437
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,48,7168,2048,8,256,32,1,power_law_1.01,0.5331071853637696
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,48,7168,2048,8,384,8,1,balanced,2.4133706092834473
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,64,7168,2048,8,256,32,1,power_law_1.01,0.5510272026062012
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,48,7168,2048,8,384,4,1,power_law_1.01,2.4127296447753905
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,64,7168,2048,8,384,8,1,balanced,2.4300266901652017
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,1,2688,1856,6,128,32,1,power_law_1.01,0.0429504007101059
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,2,2688,1856,6,128,32,1,power_law_1.01,0.05316479802131653
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,64,7168,2048,8,384,4,1,power_law_1.01,3.127065658569336
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,4,2688,1856,6,128,32,1,power_law_1.01,0.07779840230941773
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,512,4096,14336,2,8,2,1,power_law_1.2,4.5571136474609375
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,80,4096,1536,8,128,1,32,balanced,0.13899200161298117
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,96,4096,1536,8,128,1,32,balanced,0.1414400041103363
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,80,7168,2048,8,256,32,1,power_law_1.01,0.39806079864501953
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,80,7168,2048,8,384,8,1,balanced,2.456991990407308
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,96,7168,2048,8,256,32,1,power_law_1.01,0.40889601707458495
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,96,7168,2048,8,384,8,1,balanced,2.4591466585795083
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,80,6144,2560,8,160,1,4,power_law_1.2,2.103059196472168
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,80,7168,2048,8,256,1,64,power_law_1.2,0.27429120540618895
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,96,6144,2560,8,160,1,4,power_law_1.2,2.0701568603515623
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,80,7168,2048,8,384,4,1,power_law_1.01,3.398489761352539
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,96,7168,2048,8,256,1,64,power_law_1.2,0.2692352056503296
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,768,4096,14336,2,8,2,1,power_law_1.2,6.343513488769531
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,96,7168,2048,8,384,4,1,power_law_1.01,3.5089088439941407
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,8,2688,1856,6,128,32,1,power_law_1.01,0.13908480405807494
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,16,2688,1856,6,128,32,1,power_law_1.01,0.19113600254058838
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,1024,4096,14336,2,8,2,1,power_law_1.2,8.200646209716798
