framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,2,33554432,0.468488655090332,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,2,67108864,0.7527667236328125,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,2,67108864,0.9010163116455079,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,2,134217728,1.4422055053710938,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,2,134217728,1.736895751953125,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,2,268435456,2.8058837890625,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,2,268435456,3.395287170410156,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,2,536870912,5.410453491210937,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,2,536870912,6.559788208007812,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,4,128,0.005,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,4,128,0.04581567764282227,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,4,256,0.005001599788665771,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,4,256,0.04891392230987549,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,4,512,0.005199360251426697,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,4,512,0.05136767864227295,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,4,1024,0.0052467197179794315,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,4,1024,0.04599167823791504,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,4,2048,0.005263360142707825,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,4,2048,0.045476799011230466,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,4,4096,0.005554239749908448,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,4,4096,0.04550240039825439,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,4,8192,0.005926719903945923,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,4,8192,0.04605247974395752,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,4,16384,0.005928959846496582,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,4,16384,0.045536317825317384,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,4,32768,0.006447359919548035,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,4,32768,0.04575679779052734,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,4,65536,0.007757120132446289,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,4,65536,0.04585855960845947,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,4,131072,0.010208959579467772,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,4,131072,0.04570144176483154,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,4,262144,0.014529600143432617,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,4,262144,0.04615744113922119,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,4,524288,0.018104000091552736,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,4,524288,0.04553664207458496,vllm_eager
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,bfloat16,4,1048576,0.02615231990814209,vllm_graph
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,bfloat16,4,1048576,0.04634016036987305,vllm_eager
