framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,16,16,4,256,1,bfloat16,bfloat16,0,0.009354666496316591
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,32,12,12,128,1,bfloat16,bfloat16,0,0.009002666920423508
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,256,24,1,256,1,bfloat16,bfloat16,0,0.03514666606982549
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,2048,12,12,128,1,bfloat16,bfloat16,0,0.12273066242535909
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,512,48,4,128,1,bfloat16,bfloat16,0,0.04349866509437561
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,32,256,1,1,256,1,bfloat16,bfloat16,0,0.027893332143624622
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,256,16,40,1,256,1,bfloat16,bfloat16,0,0.5983573198318481
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,256,128,64,8,128,1,bfloat16,bfloat16,0,1.412266731262207
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,1,64,64,256,1,bfloat16,bfloat16,0,0.017680000513792038
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,1024,8,4,128,1,bfloat16,bfloat16,0,0.05085866649945577
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,16,4096,12,12,128,1,bfloat16,bfloat16,0,4.485525449117024
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,2048,4,4,256,1,bfloat16,bfloat16,0,0.32544533411661786
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,3072,24,4,256,1,bfloat16,bfloat16,0,0.9217440287272135
