phase,workload_segment,counter_id,worker_id,dp_rank,sum_prefill_tokens,num_prefill_requests,sum_prefill_kv_tokens,var_prefill_length,num_decode_requests,sum_decode_kv_tokens,var_decode_kv_tokens,queued_prefill_requests,queued_prefill_tokens,queued_var_prefill_length,queued_decode_requests,queued_decode_kv_tokens,queued_var_decode_kv_tokens,latency_ms
decode,sweep,1115,2643417971761755901,0,0,0,0,0.000,3,12305,0.222,0,0,0.000,0,0,0.000,13.589
decode,sweep,1116,2643417971761755901,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,13.341
context,sweep,1123,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,194.919
decode,sweep,1124,2643417971761755901,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,14.310
decode,sweep,1125,2643417971761755901,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,14.300
decode,sweep,1126,2643417971761755901,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,14.123
decode,sweep,1127,2643417971761755901,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,13.539
decode,sweep,1128,2643417971761755901,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,13.526
decode,sweep,1129,2643417971761755901,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,13.501
decode,sweep,1130,2643417971761755901,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,13.505
context,sweep,1138,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,1,4096,0.000,0,0,0.000,210.787
mixed,sweep,1139,2643417971761755901,0,8191,2,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,407.328
mixed,sweep,1140,2643417971761755901,0,4097,2,4095,0.000,2,8193,0.250,0,0,0.000,0,0,0.000,204.335
decode,sweep,1141,2643417971761755901,0,0,0,0,0.000,4,16387,0.688,0,0,0.000,0,0,0.000,14.797
decode,sweep,1142,2643417971761755901,0,0,0,0,0.000,4,16391,0.688,0,0,0.000,0,0,0.000,14.879
decode,sweep,1143,2643417971761755901,0,0,0,0,0.000,4,16395,0.688,0,0,0.000,0,0,0.000,14.562
decode,sweep,1144,2643417971761755901,0,0,0,0,0.000,4,16399,0.688,0,0,0.000,0,0,0.000,13.940
decode,sweep,1145,2643417971761755901,0,0,0,0,0.000,4,16403,0.688,0,0,0.000,0,0,0.000,13.971
decode,sweep,1146,2643417971761755901,0,0,0,0,0.000,3,12304,0.222,0,0,0.000,0,0,0.000,13.629
decode,sweep,1147,2643417971761755901,0,0,0,0,0.000,2,8204,0.000,0,0,0.000,0,0,0.000,13.515
context,sweep,1155,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,197.813
decode,sweep,1156,2643417971761755901,0,0,0,0,0.000,1,4096,0.000,13,53248,0.000,0,0,0.000,25.343
mixed,sweep,1157,2643417971761755901,0,8191,2,0,0.000,1,4097,0.000,11,45056,0.000,0,0,0.000,405.125
mixed,sweep,1158,2643417971761755901,0,8190,3,4095,0.000,2,8194,1.000,9,36864,0.000,0,0,0.000,408.055
mixed,sweep,1159,2643417971761755901,0,8188,3,4093,0.000,4,16388,1.500,7,28672,0.000,0,0,0.000,410.233
mixed,sweep,1160,2643417971761755901,0,8186,3,4089,0.000,6,24584,1.889,5,20480,0.000,0,0,0.000,411.225
mixed,sweep,1161,2643417971761755901,0,8184,3,4083,0.000,8,32782,2.438,3,12288,0.000,0,0,0.000,408.801
mixed,sweep,1162,2643417971761755901,0,8182,3,4075,0.000,10,40982,3.160,1,4096,0.000,0,0,0.000,411.033
mixed,sweep,1163,2643417971761755901,0,8181,3,4065,0.000,11,45081,2.562,0,0,0.000,0,0,0.000,410.321
mixed,sweep,1164,2643417971761755901,0,4138,2,4054,0.000,13,53284,3.562,0,0,0.000,0,0,0.000,210.043
decode,sweep,1165,2643417971761755901,0,0,0,0,0.000,14,57386,4.000,0,0,0.000,0,0,0.000,16.364
decode,sweep,1166,2643417971761755901,0,0,0,0,0.000,12,49194,2.917,0,0,0.000,0,0,0.000,15.863
decode,sweep,1167,2643417971761755901,0,0,0,0,0.000,10,41000,2.000,0,0,0.000,0,0,0.000,15.237
decode,sweep,1168,2643417971761755901,0,0,0,0,0.000,8,32804,1.250,0,0,0.000,0,0,0.000,14.556
decode,sweep,1169,2643417971761755901,0,0,0,0,0.000,6,24606,0.667,0,0,0.000,0,0,0.000,14.309
decode,sweep,1170,2643417971761755901,0,0,0,0,0.000,4,16406,0.250,0,0,0.000,0,0,0.000,13.940
decode,sweep,1171,2643417971761755901,0,0,0,0,0.000,2,8204,0.000,0,0,0.000,0,0,0.000,13.469
context,sweep,1178,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,197.110
decode,sweep,1179,2643417971761755901,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,14.288
decode,sweep,1180,2643417971761755901,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,14.317
decode,sweep,1181,2643417971761755901,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,13.692
decode,sweep,1182,2643417971761755901,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,13.511
decode,sweep,1183,2643417971761755901,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,13.562
decode,sweep,1184,2643417971761755901,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,13.377
decode,sweep,1185,2643417971761755901,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,13.366
context,sweep,1192,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,1,4096,0.000,0,0,0.000,211.323
mixed,sweep,1193,2643417971761755901,0,8191,2,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,406.882
mixed,sweep,1194,2643417971761755901,0,4097,2,4095,0.000,2,8193,0.250,0,0,0.000,0,0,0.000,205.098
decode,sweep,1195,2643417971761755901,0,0,0,0,0.000,4,16387,0.688,0,0,0.000,0,0,0.000,14.753
decode,sweep,1196,2643417971761755901,0,0,0,0,0.000,4,16391,0.688,0,0,0.000,0,0,0.000,14.800
decode,sweep,1197,2643417971761755901,0,0,0,0,0.000,4,16395,0.688,0,0,0.000,0,0,0.000,14.593
decode,sweep,1198,2643417971761755901,0,0,0,0,0.000,4,16399,0.688,0,0,0.000,0,0,0.000,13.920
decode,sweep,1199,2643417971761755901,0,0,0,0,0.000,4,16403,0.688,0,0,0.000,0,0,0.000,13.965
decode,sweep,1200,2643417971761755901,0,0,0,0,0.000,3,12304,0.222,0,0,0.000,0,0,0.000,13.620
decode,sweep,1201,2643417971761755901,0,0,0,0,0.000,2,8204,0.000,0,0,0.000,0,0,0.000,13.489
context,sweep,1208,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,5,20480,0.000,0,0,0.000,207.579
mixed,sweep,1209,2643417971761755901,0,8191,2,0,0.000,1,4096,0.000,11,45056,0.000,0,0,0.000,407.949
mixed,sweep,1210,2643417971761755901,0,8190,3,4095,0.000,2,8193,0.250,9,36864,0.000,0,0,0.000,406.651
mixed,sweep,1211,2643417971761755901,0,8188,3,4093,0.000,4,16387,0.688,7,28672,0.000,0,0,0.000,407.873
mixed,sweep,1212,2643417971761755901,0,8186,3,4089,0.000,6,24583,1.139,5,20480,0.000,0,0,0.000,409.753
mixed,sweep,1213,2643417971761755901,0,8184,3,4083,0.000,8,32781,1.734,3,12288,0.000,0,0,0.000,409.888
mixed,sweep,1214,2643417971761755901,0,8182,3,4075,0.000,10,40981,2.490,1,4096,0.000,0,0,0.000,408.477
mixed,sweep,1215,2643417971761755901,0,8180,3,4065,0.000,12,49183,3.410,0,0,0.000,0,0,0.000,410.047
mixed,sweep,1216,2643417971761755901,0,4139,2,4053,0.000,13,53284,3.562,0,0,0.000,0,0,0.000,208.929
decode,sweep,1217,2643417971761755901,0,0,0,0,0.000,14,57386,4.000,0,0,0.000,0,0,0.000,16.380
decode,sweep,1218,2643417971761755901,0,0,0,0,0.000,12,49194,2.917,0,0,0.000,0,0,0.000,16.063
decode,sweep,1219,2643417971761755901,0,0,0,0,0.000,10,41000,2.000,0,0,0.000,0,0,0.000,15.355
decode,sweep,1220,2643417971761755901,0,0,0,0,0.000,8,32804,1.250,0,0,0.000,0,0,0.000,14.542
decode,sweep,1221,2643417971761755901,0,0,0,0,0.000,6,24606,0.667,0,0,0.000,0,0,0.000,14.173
decode,sweep,1222,2643417971761755901,0,0,0,0,0.000,4,16406,0.250,0,0,0.000,0,0,0.000,13.667
decode,sweep,1223,2643417971761755901,0,0,0,0,0.000,2,8204,0.000,0,0,0.000,0,0,0.000,13.473
context,sweep,1230,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,200.313
decode,sweep,1231,2643417971761755901,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,14.235
decode,sweep,1232,2643417971761755901,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,14.168
decode,sweep,1233,2643417971761755901,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,13.697
decode,sweep,1234,2643417971761755901,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,13.622
decode,sweep,1235,2643417971761755901,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,13.476
decode,sweep,1236,2643417971761755901,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,13.439
decode,sweep,1237,2643417971761755901,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,13.430
context,sweep,1244,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,1,4096,0.000,0,0,0.000,208.508
mixed,sweep,1245,2643417971761755901,0,8191,2,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,406.966
mixed,sweep,1246,2643417971761755901,0,4097,2,4095,0.000,2,8193,0.250,0,0,0.000,0,0,0.000,204.825
decode,sweep,1247,2643417971761755901,0,0,0,0,0.000,4,16387,0.688,0,0,0.000,0,0,0.000,14.740
decode,sweep,1248,2643417971761755901,0,0,0,0,0.000,4,16391,0.688,0,0,0.000,0,0,0.000,14.495
decode,sweep,1249,2643417971761755901,0,0,0,0,0.000,4,16395,0.688,0,0,0.000,0,0,0.000,14.444
decode,sweep,1250,2643417971761755901,0,0,0,0,0.000,4,16399,0.688,0,0,0.000,0,0,0.000,13.945
decode,sweep,1251,2643417971761755901,0,0,0,0,0.000,4,16403,0.688,0,0,0.000,0,0,0.000,13.940
