framework,version,device,op_name,kernel_source,model,architecture,mla_dtype,kv_cache_dtype,gemm_type,num_heads,batch_size,isl,tp_size,step,latency
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,16,1024,1,1,2,0.2598
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,1,2,1,1,32,0.0647
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,64,512,1,1,2048,0.5194
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,16,1024,1,1,128,0.2675
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,4,1,1,1,2048,0.0693
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,1,2,1,1,4,0.0629
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,nvfp4,1,256,1,1,512,0.1416
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,fp8_block,8,4,1,1,65536,0.1286
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,32,4,1,1,32768,0.1146
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,fp8_block,1,64,1,1,8,0.0955
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,32,8,1,1,64,0.1011
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,128,1,1,1,16384,0.1536
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,fp8_block,64,2,1,1,2048,0.1221
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,8,32,1,1,32,0.0928
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,32,2,1,1,1024,0.1046
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,nvfp4,2,32,1,1,2048,0.0982
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,fp8_block,32,4,1,1,32768,0.1352
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,64,128,1,1,4,0.1647
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,nvfp4,32,256,1,1,8192,0.4667
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,1,1,2048,0.1101
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,64,16,1,1,131072,0.3122
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,nvfp4,128,512,1,1,16,0.4550
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,nvfp4,2,256,1,1,2,0.1145
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,nvfp4,128,8,1,1,131072,0.2309
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,2,128,1,1,131072,3.3934
VLLM,0.20.0,NVIDIA GB300,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,nvfp4,16,2,1,1,256,0.0817
