framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.20.0,NVIDIA GB300,moe,vllm_marlin_int4_moe,int4_wo,1,4096,1024,10,512,1,2,power_law_1.01,0.08425599932670594
VLLM,0.20.0,NVIDIA GB300,moe,vllm_marlin_int4_moe,int4_wo,2,4096,1024,10,512,1,2,power_law_1.01,0.09119359850883484
VLLM,0.20.0,NVIDIA GB300,moe,vllm_marlin_int4_moe,int4_wo,4,4096,1024,10,512,1,2,power_law_1.01,0.13587199449539183
VLLM,0.20.0,NVIDIA GB300,moe,vllm_marlin_int4_moe,int4_wo,8,4096,1024,10,512,1,2,power_law_1.01,0.24456961154937745
VLLM,0.20.0,NVIDIA GB300,moe,vllm_marlin_int4_moe,int4_wo,16,4096,1024,10,512,1,2,power_law_1.01,0.4328000068664551
VLLM,0.20.0,NVIDIA GB300,moe,vllm_marlin_int4_moe,int4_wo,32,4096,1024,10,512,1,2,power_law_1.01,0.6548480033874512
VLLM,0.20.0,NVIDIA GB300,moe,vllm_marlin_int4_moe,int4_wo,48,4096,1024,10,512,1,2,power_law_1.01,0.7951551914215088
VLLM,0.20.0,NVIDIA GB300,moe,vllm_marlin_int4_moe,int4_wo,64,4096,1024,10,512,1,2,power_law_1.01,1.0491007804870605
VLLM,0.20.0,NVIDIA GB300,moe,vllm_marlin_int4_moe,int4_wo,80,4096,1024,10,512,1,2,power_law_1.01,1.1839743614196778
VLLM,0.20.0,NVIDIA GB300,moe,vllm_marlin_int4_moe,int4_wo,96,4096,1024,10,512,1,2,power_law_1.01,1.2940671920776368
VLLM,0.20.0,NVIDIA GB300,moe,vllm_marlin_int4_moe,int4_wo,128,4096,1024,10,512,1,2,power_law_1.01,1.5215999603271484
VLLM,0.20.0,NVIDIA GB300,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,1,7168,2048,8,384,8,1,power_law_1.01,0.023609599471092223
VLLM,0.20.0,NVIDIA GB300,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,2,7168,2048,8,384,8,1,power_law_1.01,0.025254398584365845
VLLM,0.20.0,NVIDIA GB300,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,4,7168,2048,8,384,8,1,power_law_1.01,0.03150080144405365
VLLM,0.20.0,NVIDIA GB300,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,1,7168,2048,8,384,1,8,power_law_1.01,0.02305919975042343
VLLM,0.20.0,NVIDIA GB300,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,8,7168,2048,8,384,8,1,power_law_1.01,0.05240960121154785
VLLM,0.20.0,NVIDIA GB300,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,2,7168,2048,8,384,1,8,power_law_1.01,0.023571200668811798
VLLM,0.20.0,NVIDIA GB300,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,16,7168,2048,8,384,8,1,power_law_1.01,0.0760703980922699
VLLM,0.20.0,NVIDIA GB300,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,4,7168,2048,8,384,1,8,power_law_1.01,0.030700799822807313
VLLM,0.20.0,NVIDIA GB300,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,8,7168,2048,8,384,1,8,power_law_1.01,0.061587202548980716
VLLM,0.20.0,NVIDIA GB300,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,16,7168,2048,8,384,1,8,power_law_1.01,0.08280959725379944
VLLM,0.20.0,NVIDIA GB300,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,32,7168,2048,8,384,1,8,power_law_1.01,0.10423040390014648
VLLM,0.20.0,NVIDIA GB300,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,32,7168,2048,8,384,8,1,power_law_1.01,0.10686719417572021
VLLM,0.20.0,NVIDIA GB300,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,48,7168,2048,8,384,1,8,power_law_1.01,0.12508800029754638
VLLM,0.20.0,NVIDIA GB300,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,48,7168,2048,8,384,8,1,power_law_1.01,0.12544000148773193
