framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,hidden_size,message_size,num_tokens,latency,fusion_pattern,shape_policy,max_token_num,backend
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,4096,16384,4,0.03142361640930176,allreduce_residual_rms,hidden_size_4096,256,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,4096,32768,8,0.006247968196868897,allreduce_residual_rms,hidden_size_4096,256,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,4096,32768,8,0.031343008041381834,allreduce_residual_rms,hidden_size_4096,256,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,4096,65536,16,0.007062223911285401,allreduce_residual_rms,hidden_size_4096,256,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,4096,65536,16,0.0314238395690918,allreduce_residual_rms,hidden_size_4096,256,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,4096,131072,32,0.008476127624511718,allreduce_residual_rms,hidden_size_4096,256,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,4096,131072,32,0.05372716903686523,allreduce_residual_rms,hidden_size_4096,256,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,4096,262144,64,0.01186303997039795,allreduce_residual_rms,hidden_size_4096,256,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,4096,262144,64,0.05378995132446289,allreduce_residual_rms,hidden_size_4096,256,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,4096,524288,128,0.016952896118164064,allreduce_residual_rms,hidden_size_4096,256,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,4096,524288,128,0.031096799850463867,allreduce_residual_rms,hidden_size_4096,256,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,4096,1048576,256,0.031078271865844727,allreduce_residual_rms,hidden_size_4096,256,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,4096,1048576,256,0.03416783905029297,allreduce_residual_rms,hidden_size_4096,256,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,5120,5120,1,0.0060829758644104,allreduce_residual_rms,hidden_size_5120,204,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,5120,5120,1,0.03128769683837891,allreduce_residual_rms,hidden_size_5120,204,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,5120,10240,2,0.00614409589767456,allreduce_residual_rms,hidden_size_5120,204,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,5120,10240,2,0.03123543930053711,allreduce_residual_rms,hidden_size_5120,204,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,5120,20480,4,0.00625977611541748,allreduce_residual_rms,hidden_size_5120,204,vllm_graph
