framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency,vllm_max_model_len,vllm_max_num_seqs,vllm_max_num_batched_tokens,used_cuda_graph
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,3,2048,512,8,256,1,1,sampled_zipf_1.2,0.03086400032043457,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,512,8,256,1,1,sampled_zipf_1.2,0.03341866781314214,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,5,2048,512,8,256,1,1,sampled_zipf_1.2,0.039936001102129616,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,6,2048,512,8,256,1,1,sampled_zipf_1.2,0.03654933224121729,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,7,2048,512,8,256,1,1,sampled_zipf_1.2,0.04258666435877482,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,512,8,256,1,1,sampled_zipf_1.2,0.05188799897829691,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,16,2048,512,8,256,1,1,sampled_zipf_1.2,0.07378133138020833,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,512,8,256,2,1,sampled_zipf_1.2,0.016800000021855038,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,512,8,256,2,1,sampled_zipf_1.2,0.01708799973130226,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,3,2048,512,8,256,2,1,sampled_zipf_1.2,0.01903466631968816,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,512,8,256,2,1,sampled_zipf_1.2,0.01924266666173935,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,5,2048,512,8,256,2,1,sampled_zipf_1.2,0.02096533278624217,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,6,2048,512,8,256,2,1,sampled_zipf_1.2,0.021029333273569744,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,7,2048,512,8,256,2,1,sampled_zipf_1.2,0.02312533309062322,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,512,8,256,2,1,sampled_zipf_1.2,0.033471999069054924,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,16,2048,512,8,256,2,1,sampled_zipf_1.2,0.045791998505592346,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,1,4096,2048,6,256,1,4,power_law_1.2,0.026144000887870788,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,2,4096,2048,6,256,1,4,power_law_1.2,0.027699199318885804,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,4,4096,2048,6,256,1,4,power_law_1.2,0.04031359851360321,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,8,4096,2048,6,256,1,4,power_law_1.2,0.0590719997882843,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,16,4096,2048,6,256,1,4,power_law_1.2,0.07526400089263915,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,32,4096,2048,6,256,1,4,power_law_1.2,0.093094402551651,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,48,4096,2048,6,256,1,4,power_law_1.2,0.1254207968711853,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,64,4096,2048,6,256,1,4,power_law_1.2,0.1288256049156189,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,80,4096,2048,6,256,1,4,power_law_1.2,0.1373247981071472,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,96,4096,2048,6,256,1,4,power_law_1.2,0.1477247953414917,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,128,4096,2048,6,256,1,4,power_law_1.2,0.15543680191040038,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,160,4096,2048,6,256,1,4,power_law_1.2,0.16579840183258057,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,192,4096,2048,6,256,1,4,power_law_1.2,0.20091519355773926,,,,True
