phase,workload_segment,counter_id,worker_id,dp_rank,sum_prefill_tokens,num_prefill_requests,sum_prefill_kv_tokens,var_prefill_length,num_decode_requests,sum_decode_kv_tokens,var_decode_kv_tokens,queued_prefill_requests,queued_prefill_tokens,queued_var_prefill_length,queued_decode_requests,queued_decode_kv_tokens,queued_var_decode_kv_tokens,latency_ms
decode,sweep,99,6881790714010957325,0,0,0,0,0.000,6,24605,1.139,0,0,0.000,0,0,0.000,6.263
decode,sweep,100,6881790714010957325,0,0,0,0,0.000,4,16405,0.688,0,0,0.000,0,0,0.000,6.285
decode,sweep,101,6881790714010957325,0,0,0,0,0.000,2,8203,0.250,0,0,0.000,0,0,0.000,5.809
decode,sweep,102,6881790714010957325,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,6.090
context,sweep,111,6881790714010957325,0,3696,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,62.211
context,sweep,112,6881790714010957325,0,400,1,3696,0.000,0,0,0.000,0,0,0.000,0,0,0.000,18.484
decode,sweep,113,6881790714010957325,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,7.494
decode,sweep,114,6881790714010957325,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,5.978
decode,sweep,115,6881790714010957325,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,5.933
decode,sweep,116,6881790714010957325,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,5.981
decode,sweep,117,6881790714010957325,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,5.994
decode,sweep,118,6881790714010957325,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,5.980
decode,sweep,119,6881790714010957325,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,6.024
context,sweep,128,6881790714010957325,0,3696,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,61.354
context,sweep,129,6881790714010957325,0,400,1,3696,0.000,0,0,0.000,0,0,0.000,0,0,0.000,60.593
mixed,sweep,130,6881790714010957325,0,3696,1,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,56.858
mixed,sweep,131,6881790714010957325,0,400,1,3696,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,18.721
decode,sweep,132,6881790714010957325,0,0,0,0,0.000,2,8194,1.000,0,0,0.000,0,0,0.000,7.198
decode,sweep,133,6881790714010957325,0,0,0,0,0.000,2,8196,1.000,0,0,0.000,0,0,0.000,6.010
decode,sweep,134,6881790714010957325,0,0,0,0,0.000,2,8198,1.000,0,0,0.000,0,0,0.000,6.073
decode,sweep,135,6881790714010957325,0,0,0,0,0.000,2,8200,1.000,0,0,0.000,0,0,0.000,6.093
decode,sweep,136,6881790714010957325,0,0,0,0,0.000,2,8202,1.000,0,0,0.000,0,0,0.000,6.153
decode,sweep,137,6881790714010957325,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,5.999
decode,sweep,138,6881790714010957325,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,6.902
context,sweep,147,6881790714010957325,0,3696,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,60.020
context,sweep,148,6881790714010957325,0,400,1,3696,0.000,0,0,0.000,0,0,0.000,0,0,0.000,18.258
decode,sweep,149,6881790714010957325,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,57.429
decode,sweep,150,6881790714010957325,0,0,0,0,0.000,1,4097,0.000,4,16384,0.000,0,0,0.000,18.692
mixed,sweep,151,6881790714010957325,0,7920,3,0,0.000,1,4098,0.000,3,12288,0.000,0,0,0.000,56.358
mixed,sweep,152,6881790714010957325,0,7664,4,7920,0.000,1,4099,0.000,1,4096,0.000,0,0,0.000,54.410
mixed,sweep,153,6881790714010957325,0,7664,4,7392,0.000,3,12292,3.556,0,0,0.000,0,0,0.000,55.941
mixed,sweep,154,6881790714010957325,0,4624,3,6864,0.000,5,20487,3.440,0,0,0.000,0,0,0.000,54.440
mixed,sweep,155,6881790714010957325,0,800,2,7392,0.000,6,24588,3.667,0,0,0.000,0,0,0.000,56.597
decode,sweep,156,6881790714010957325,0,0,0,0,0.000,7,28683,1.388,0,0,0.000,0,0,0.000,7.656
decode,sweep,157,6881790714010957325,0,0,0,0,0.000,7,28690,1.388,0,0,0.000,0,0,0.000,6.146
