framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency,vllm_max_model_len,vllm_max_num_seqs,vllm_max_num_batched_tokens,used_cuda_graph
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,16,2880,2880,4,128,1,8,balanced,0.12217600146929423,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,32,2880,2880,4,128,1,8,balanced,0.19047999382019043,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,48,2880,2880,4,128,1,8,balanced,0.19082132975260416,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,64,2880,2880,4,128,1,8,balanced,0.19238932927449545,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,80,2880,2880,4,128,1,8,balanced,0.19130667050679526,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,96,2880,2880,4,128,1,8,balanced,0.19081600507100424,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,128,2880,2880,4,128,1,8,balanced,0.18992533286412558,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,160,2880,2880,4,128,1,8,balanced,0.2019253373146057,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,192,2880,2880,4,128,1,8,balanced,0.20202134052912393,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,256,2880,2880,4,128,1,8,balanced,0.2031360069910685,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,320,2880,2880,4,128,1,8,balanced,0.20653333266576132,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,384,2880,2880,4,128,1,8,balanced,0.20729066928227743,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,512,2880,2880,4,128,1,8,balanced,0.20887466271718344,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,768,2880,2880,4,128,1,8,balanced,0.2107893427213033,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,1024,2880,2880,4,128,1,8,balanced,0.2140106757481893,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,1,2880,2880,4,128,1,8,power_law_1.2,0.049619200825691226,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,2,2880,2880,4,128,1,8,power_law_1.2,0.053446400165557864,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,4,2880,2880,4,128,1,8,power_law_1.2,0.06812800168991089,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,8,2880,2880,4,128,1,8,power_law_1.2,0.0939136028289795,,,,
