phase,workload_segment,counter_id,worker_id,dp_rank,ctx_tokens,ctx_requests,ctx_kv_tokens,decode_tokens,decode_requests,decode_kv_tokens,mean_decode_kv_tokens,queued_ctx_tokens,queued_ctx_requests,queued_decode_requests,queued_decode_kv_tokens,latency_ms
decode,sweep,103,9242928653772033172,0,0,0,0,1,1,4096,4096.000,4096,1,0,0,238.191
mixed,sweep,104,9242928653772033172,0,8191,2,0,1,1,4097,4097.000,0,0,0,0,257.975
mixed,sweep,105,9242928653772033172,0,4097,2,4095,2,2,8194,4097.000,0,0,0,0,108.862
decode,sweep,106,9242928653772033172,0,0,0,0,4,4,16388,4097.000,0,0,0,0,11.060
decode,sweep,107,9242928653772033172,0,0,0,0,4,4,16392,4098.000,0,0,0,0,11.020
decode,sweep,108,9242928653772033172,0,0,0,0,4,4,16396,4099.000,0,0,0,0,11.116
decode,sweep,109,9242928653772033172,0,0,0,0,4,4,16400,4100.000,0,0,0,0,11.276
decode,sweep,110,9242928653772033172,0,0,0,0,3,3,12301,4100.333,0,0,0,0,11.137
decode,sweep,111,9242928653772033172,0,0,0,0,3,3,12304,4101.333,0,0,0,0,11.641
decode,sweep,112,9242928653772033172,0,0,0,0,2,2,8204,4102.000,0,0,0,0,10.865
context,sweep,118,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,111.595
decode,sweep,119,9242928653772033172,0,0,0,0,1,1,4096,4096.000,0,0,0,0,9.979
decode,sweep,120,9242928653772033172,0,0,0,0,1,1,4097,4097.000,0,0,0,0,10.017
decode,sweep,121,9242928653772033172,0,0,0,0,1,1,4098,4098.000,0,0,0,0,10.061
decode,sweep,122,9242928653772033172,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.128
decode,sweep,123,9242928653772033172,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.026
decode,sweep,124,9242928653772033172,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.046
decode,sweep,125,9242928653772033172,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.075
context,sweep,131,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.406
decode,sweep,132,9242928653772033172,0,0,0,0,1,1,4096,4096.000,0,0,0,0,134.580
decode,sweep,133,9242928653772033172,0,0,0,0,1,1,4097,4097.000,0,0,0,0,10.244
decode,sweep,134,9242928653772033172,0,0,0,0,1,1,4098,4098.000,0,0,0,0,9.935
decode,sweep,135,9242928653772033172,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.139
decode,sweep,136,9242928653772033172,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.070
decode,sweep,137,9242928653772033172,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.099
decode,sweep,138,9242928653772033172,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.144
context,sweep,145,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,112.950
decode,sweep,146,9242928653772033172,0,0,0,0,1,1,4096,4096.000,4096,1,0,0,238.138
mixed,sweep,147,9242928653772033172,0,8191,2,0,1,1,4097,4097.000,0,0,0,0,257.798
mixed,sweep,148,9242928653772033172,0,4097,2,4095,2,2,8194,4097.000,0,0,0,0,108.854
decode,sweep,149,9242928653772033172,0,0,0,0,4,4,16388,4097.000,0,0,0,0,11.156
decode,sweep,150,9242928653772033172,0,0,0,0,4,4,16392,4098.000,0,0,0,0,11.235
decode,sweep,151,9242928653772033172,0,0,0,0,4,4,16396,4099.000,0,0,0,0,11.226
decode,sweep,152,9242928653772033172,0,0,0,0,4,4,16400,4100.000,0,0,0,0,11.485
decode,sweep,153,9242928653772033172,0,0,0,0,3,3,12301,4100.333,0,0,0,0,11.453
decode,sweep,154,9242928653772033172,0,0,0,0,3,3,12304,4101.333,0,0,0,0,11.721
decode,sweep,155,9242928653772033172,0,0,0,0,2,2,8204,4102.000,0,0,0,0,10.906
context,sweep,161,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,112.700
decode,sweep,162,9242928653772033172,0,0,0,0,1,1,4096,4096.000,0,0,0,0,9.997
decode,sweep,163,9242928653772033172,0,0,0,0,1,1,4097,4097.000,0,0,0,0,9.993
decode,sweep,164,9242928653772033172,0,0,0,0,1,1,4098,4098.000,0,0,0,0,10.036
decode,sweep,165,9242928653772033172,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.123
decode,sweep,166,9242928653772033172,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.035
decode,sweep,167,9242928653772033172,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.056
decode,sweep,168,9242928653772033172,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.095
