phase,workload_segment,counter_id,worker_id,dp_rank,sum_prefill_tokens,num_prefill_requests,sum_prefill_kv_tokens,var_prefill_length,num_decode_requests,sum_decode_kv_tokens,var_decode_kv_tokens,queued_prefill_requests,queued_prefill_tokens,queued_var_prefill_length,queued_decode_requests,queued_decode_kv_tokens,queued_var_decode_kv_tokens,latency_ms
context,sweep,88,9242928653772033172,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,116.700
decode,sweep,89,9242928653772033172,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,134.472
decode,sweep,90,9242928653772033172,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,9.933
decode,sweep,91,9242928653772033172,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,9.955
decode,sweep,92,9242928653772033172,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,9.878
decode,sweep,93,9242928653772033172,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,10.084
decode,sweep,94,9242928653772033172,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,10.002
decode,sweep,95,9242928653772033172,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,10.191
context,sweep,102,9242928653772033172,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,113.565
decode,sweep,103,9242928653772033172,0,0,0,0,0.000,1,4096,0.000,1,4096,0.000,0,0,0.000,238.191
mixed,sweep,104,9242928653772033172,0,8191,2,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,257.975
mixed,sweep,105,9242928653772033172,0,4097,2,4095,0.000,2,8194,1.000,0,0,0.000,0,0,0.000,108.862
decode,sweep,106,9242928653772033172,0,0,0,0,0.000,4,16388,1.500,0,0,0.000,0,0,0.000,11.060
decode,sweep,107,9242928653772033172,0,0,0,0,0.000,4,16392,1.500,0,0,0.000,0,0,0.000,11.020
decode,sweep,108,9242928653772033172,0,0,0,0,0.000,4,16396,1.500,0,0,0.000,0,0,0.000,11.116
decode,sweep,109,9242928653772033172,0,0,0,0,0.000,4,16400,1.500,0,0,0.000,0,0,0.000,11.276
decode,sweep,110,9242928653772033172,0,0,0,0,0.000,3,12301,0.222,0,0,0.000,0,0,0.000,11.137
decode,sweep,111,9242928653772033172,0,0,0,0,0.000,3,12304,0.222,0,0,0.000,0,0,0.000,11.641
decode,sweep,112,9242928653772033172,0,0,0,0,0.000,2,8204,0.000,0,0,0.000,0,0,0.000,10.865
context,sweep,118,9242928653772033172,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,111.595
decode,sweep,119,9242928653772033172,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,9.979
decode,sweep,120,9242928653772033172,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,10.017
decode,sweep,121,9242928653772033172,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,10.061
decode,sweep,122,9242928653772033172,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,10.128
decode,sweep,123,9242928653772033172,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,10.026
decode,sweep,124,9242928653772033172,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,10.046
decode,sweep,125,9242928653772033172,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,10.075
context,sweep,131,9242928653772033172,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,113.406
decode,sweep,132,9242928653772033172,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,134.580
decode,sweep,133,9242928653772033172,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,10.244
decode,sweep,134,9242928653772033172,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,9.935
decode,sweep,135,9242928653772033172,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,10.139
decode,sweep,136,9242928653772033172,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,10.070
decode,sweep,137,9242928653772033172,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,10.099
decode,sweep,138,9242928653772033172,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,10.144
context,sweep,145,9242928653772033172,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,112.950
decode,sweep,146,9242928653772033172,0,0,0,0,0.000,1,4096,0.000,1,4096,0.000,0,0,0.000,238.138
mixed,sweep,147,9242928653772033172,0,8191,2,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,257.798
mixed,sweep,148,9242928653772033172,0,4097,2,4095,0.000,2,8194,1.000,0,0,0.000,0,0,0.000,108.854
decode,sweep,149,9242928653772033172,0,0,0,0,0.000,4,16388,1.500,0,0,0.000,0,0,0.000,11.156
decode,sweep,150,9242928653772033172,0,0,0,0,0.000,4,16392,1.500,0,0,0.000,0,0,0.000,11.235
decode,sweep,151,9242928653772033172,0,0,0,0,0.000,4,16396,1.500,0,0,0.000,0,0,0.000,11.226
decode,sweep,152,9242928653772033172,0,0,0,0,0.000,4,16400,1.500,0,0,0.000,0,0,0.000,11.485
decode,sweep,153,9242928653772033172,0,0,0,0,0.000,3,12301,0.222,0,0,0.000,0,0,0.000,11.453
decode,sweep,154,9242928653772033172,0,0,0,0,0.000,3,12304,0.222,0,0,0.000,0,0,0.000,11.721
decode,sweep,155,9242928653772033172,0,0,0,0,0.000,2,8204,0.000,0,0,0.000,0,0,0.000,10.906
context,sweep,161,9242928653772033172,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,112.700
decode,sweep,162,9242928653772033172,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,9.997
decode,sweep,163,9242928653772033172,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,9.993
decode,sweep,164,9242928653772033172,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,10.036
decode,sweep,165,9242928653772033172,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,10.123
decode,sweep,166,9242928653772033172,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,10.035
decode,sweep,167,9242928653772033172,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,10.056
decode,sweep,168,9242928653772033172,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,10.095
context,sweep,174,9242928653772033172,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,149.869
decode,sweep,175,9242928653772033172,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,9.919
decode,sweep,176,9242928653772033172,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,9.827
