phase,workload_segment,counter_id,worker_id,dp_rank,ctx_tokens,ctx_requests,ctx_kv_tokens,decode_tokens,decode_requests,decode_kv_tokens,mean_decode_kv_tokens,queued_ctx_tokens,queued_ctx_requests,queued_decode_requests,queued_decode_kv_tokens,latency_ms
context,sweep,1057,5341900100200257542,0,128,1,0,0,0,0,0.000,0,0,0,0,260.976
context,sweep,1058,5341900100200257542,0,1024,1,0,0,0,0,0.000,0,0,0,0,49.409
context,sweep,1059,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,47.249
context,sweep,1060,5341900100200257542,0,928,1,3168,0,0,0,0.000,0,0,0,0,41.974
context,sweep,1061,5341900100200257542,0,128,1,0,0,0,0,0.000,0,0,0,0,15.975
context,sweep,1062,5341900100200257542,0,1024,1,0,0,0,0,0.000,0,0,0,0,40.769
context,sweep,1063,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,40.578
context,sweep,1064,5341900100200257542,0,928,1,3168,0,0,0,0.000,0,0,0,0,38.573
context,sweep,1065,5341900100200257542,0,128,1,0,0,0,0,0.000,0,0,0,0,15.927
context,sweep,1066,5341900100200257542,0,1024,1,0,0,0,0,0.000,0,0,0,0,40.474
context,sweep,1067,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,40.185
context,sweep,1068,5341900100200257542,0,928,1,3168,0,0,0,0.000,0,0,0,0,38.770
context,sweep,1069,5341900100200257542,0,128,1,0,0,0,0,0.000,0,0,0,0,15.897
context,sweep,1070,5341900100200257542,0,1024,1,0,0,0,0,0.000,0,0,0,0,40.406
context,sweep,1071,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,40.256
context,sweep,1072,5341900100200257542,0,928,1,3168,0,0,0,0.000,0,0,0,0,39.102
context,sweep,1073,5341900100200257542,0,128,1,0,0,0,0,0.000,0,0,0,0,15.765
context,sweep,1074,5341900100200257542,0,1024,1,0,0,0,0,0.000,0,0,0,0,40.373
context,sweep,1075,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,40.488
context,sweep,1076,5341900100200257542,0,928,1,3168,0,0,0,0.000,0,0,0,0,38.956
context,sweep,1077,5341900100200257542,0,128,1,0,0,0,0,0.000,0,0,0,0,15.801
context,sweep,1078,5341900100200257542,0,1024,1,0,0,0,0,0.000,0,0,0,0,40.794
context,sweep,1079,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,40.797
context,sweep,1080,5341900100200257542,0,928,1,3168,0,0,0,0.000,0,0,0,0,39.012
context,sweep,1089,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,48.440
context,sweep,1090,5341900100200257542,0,928,1,3168,0,0,0,0.000,0,0,0,0,40.195
decode,sweep,1091,5341900100200257542,0,0,0,0,1,1,4096,4096.000,0,0,0,0,4.575
decode,sweep,1092,5341900100200257542,0,0,0,0,1,1,4097,4097.000,0,0,0,0,3.599
decode,sweep,1093,5341900100200257542,0,0,0,0,1,1,4098,4098.000,0,0,0,0,3.586
decode,sweep,1094,5341900100200257542,0,0,0,0,1,1,4099,4099.000,0,0,0,0,3.605
decode,sweep,1095,5341900100200257542,0,0,0,0,1,1,4100,4100.000,0,0,0,0,3.600
decode,sweep,1096,5341900100200257542,0,0,0,0,1,1,4101,4101.000,0,0,0,0,3.606
decode,sweep,1097,5341900100200257542,0,0,0,0,1,1,4102,4102.000,0,0,0,0,3.665
context,sweep,1106,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,49.472
context,sweep,1107,5341900100200257542,0,928,1,3168,0,0,0,0.000,0,0,0,0,40.644
mixed,sweep,1108,5341900100200257542,0,7392,3,0,1,1,4096,4096.000,0,0,0,0,58.631
mixed,sweep,1109,5341900100200257542,0,3968,3,7392,1,1,4097,4097.000,0,0,0,0,43.039
mixed,sweep,1110,5341900100200257542,0,928,1,3168,3,3,12290,4096.667,0,0,0,0,40.400
decode,sweep,1111,5341900100200257542,0,0,0,0,4,4,16389,4097.250,0,0,0,0,4.675
decode,sweep,1112,5341900100200257542,0,0,0,0,4,4,16393,4098.250,0,0,0,0,4.038
decode,sweep,1113,5341900100200257542,0,0,0,0,4,4,16397,4099.250,0,0,0,0,4.005
decode,sweep,1114,5341900100200257542,0,0,0,0,4,4,16401,4100.250,0,0,0,0,4.064
decode,sweep,1115,5341900100200257542,0,0,0,0,3,3,12302,4100.667,0,0,0,0,4.063
decode,sweep,1116,5341900100200257542,0,0,0,0,3,3,12305,4101.667,0,0,0,0,4.203
decode,sweep,1117,5341900100200257542,0,0,0,0,1,1,4102,4102.000,0,0,0,0,3.571
context,sweep,1127,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,49.441
context,sweep,1128,5341900100200257542,0,928,1,3168,0,0,0,0.000,4096,1,0,0,41.249
mixed,sweep,1129,5341900100200257542,0,7392,3,0,1,1,4096,4096.000,45056,11,0,0,52.098
mixed,sweep,1130,5341900100200257542,0,7136,4,7392,1,1,4097,4097.000,36864,9,0,0,55.311
mixed,sweep,1131,5341900100200257542,0,7136,4,6336,3,3,12290,4096.667,28672,7,0,0,50.599
mixed,sweep,1132,5341900100200257542,0,7264,4,5280,5,5,20485,4097.000,20480,5,0,0,54.150
mixed,sweep,1133,5341900100200257542,0,7136,5,8448,6,6,24586,4097.667,16384,4,0,0,53.584
mixed,sweep,1134,5341900100200257542,0,7136,4,7392,8,8,32784,4098.000,8192,2,0,0,51.942
mixed,sweep,1135,5341900100200257542,0,7136,4,6336,10,10,40984,4098.400,0,0,0,0,52.458
mixed,sweep,1136,5341900100200257542,0,7264,4,5280,11,11,45083,4098.455,0,0,0,0,52.995
mixed,sweep,1137,5341900100200257542,0,2912,3,8448,12,12,49190,4099.167,0,0,0,0,42.531
mixed,sweep,1138,5341900100200257542,0,928,1,3168,12,12,49188,4099.000,0,0,0,0,40.581
decode,sweep,1139,5341900100200257542,0,0,0,0,11,11,45090,4099.091,0,0,0,0,6.125
decode,sweep,1140,5341900100200257542,0,0,0,0,10,10,40998,4099.800,0,0,0,0,5.046
decode,sweep,1141,5341900100200257542,0,0,0,0,8,8,32802,4100.250,0,0,0,0,4.383
decode,sweep,1142,5341900100200257542,0,0,0,0,6,6,24604,4100.667,0,0,0,0,4.491
decode,sweep,1143,5341900100200257542,0,0,0,0,4,4,16404,4101.000,0,0,0,0,3.940
decode,sweep,1144,5341900100200257542,0,0,0,0,3,3,12305,4101.667,0,0,0,0,4.153
decode,sweep,1145,5341900100200257542,0,0,0,0,1,1,4102,4102.000,0,0,0,0,3.530
context,sweep,1154,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,50.003
context,sweep,1155,5341900100200257542,0,928,1,3168,0,0,0,0.000,0,0,0,0,40.958
decode,sweep,1156,5341900100200257542,0,0,0,0,1,1,4096,4096.000,0,0,0,0,4.349
decode,sweep,1157,5341900100200257542,0,0,0,0,1,1,4097,4097.000,0,0,0,0,3.497
decode,sweep,1158,5341900100200257542,0,0,0,0,1,1,4098,4098.000,0,0,0,0,3.614
decode,sweep,1159,5341900100200257542,0,0,0,0,1,1,4099,4099.000,0,0,0,0,3.603
decode,sweep,1160,5341900100200257542,0,0,0,0,1,1,4100,4100.000,0,0,0,0,3.594
decode,sweep,1161,5341900100200257542,0,0,0,0,1,1,4101,4101.000,0,0,0,0,3.614
decode,sweep,1162,5341900100200257542,0,0,0,0,1,1,4102,4102.000,0,0,0,0,3.641
context,sweep,1171,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,50.862
context,sweep,1172,5341900100200257542,0,928,1,3168,0,0,0,0.000,0,0,0,0,41.551
mixed,sweep,1173,5341900100200257542,0,7392,3,0,1,1,4096,4096.000,0,0,0,0,51.979
mixed,sweep,1174,5341900100200257542,0,3968,3,7392,1,1,4097,4097.000,0,0,0,0,40.438
mixed,sweep,1175,5341900100200257542,0,928,1,3168,3,3,12290,4096.667,0,0,0,0,39.553
decode,sweep,1176,5341900100200257542,0,0,0,0,4,4,16389,4097.250,0,0,0,0,4.785
decode,sweep,1177,5341900100200257542,0,0,0,0,4,4,16393,4098.250,0,0,0,0,3.999
decode,sweep,1178,5341900100200257542,0,0,0,0,4,4,16397,4099.250,0,0,0,0,4.006
decode,sweep,1179,5341900100200257542,0,0,0,0,4,4,16401,4100.250,0,0,0,0,4.091
decode,sweep,1180,5341900100200257542,0,0,0,0,3,3,12302,4100.667,0,0,0,0,4.070
decode,sweep,1181,5341900100200257542,0,0,0,0,3,3,12305,4101.667,0,0,0,0,4.209
decode,sweep,1182,5341900100200257542,0,0,0,0,1,1,4102,4102.000,0,0,0,0,3.522
context,sweep,1191,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,49.461
context,sweep,1192,5341900100200257542,0,928,1,3168,0,0,0,0.000,0,0,0,0,41.752
decode,sweep,1193,5341900100200257542,0,0,0,0,1,1,4096,4096.000,0,0,0,0,4.554
mixed,sweep,1194,5341900100200257542,0,3168,1,0,1,1,4097,4097.000,0,0,0,0,41.290
mixed,sweep,1195,5341900100200257542,0,928,1,3168,1,1,4098,4098.000,20480,5,0,0,41.010
mixed,sweep,1196,5341900100200257542,0,7392,3,0,2,2,8195,4097.500,40960,10,0,0,52.584
mixed,sweep,1197,5341900100200257542,0,7136,4,7392,2,2,8197,4098.500,32768,8,0,0,50.909
mixed,sweep,1198,5341900100200257542,0,7136,4,6336,4,4,16391,4097.750,24576,6,0,0,50.803
mixed,sweep,1199,5341900100200257542,0,7264,4,5280,6,6,24587,4097.833,16384,4,0,0,52.175
mixed,sweep,1200,5341900100200257542,0,7136,5,8448,6,6,24586,4097.667,12288,3,0,0,51.505
mixed,sweep,1201,5341900100200257542,0,7136,4,7392,8,8,32784,4098.000,4096,1,0,0,51.529
mixed,sweep,1202,5341900100200257542,0,7136,4,6336,10,10,40984,4098.400,0,0,0,0,51.871
mixed,sweep,1203,5341900100200257542,0,5152,3,5280,11,11,45083,4098.455,0,0,0,0,45.467
mixed,sweep,1204,5341900100200257542,0,1856,2,6336,12,12,49190,4099.167,0,0,0,0,866.044
decode,sweep,1205,5341900100200257542,0,0,0,0,12,12,49188,4099.000,0,0,0,0,6.325
decode,sweep,1206,5341900100200257542,0,0,0,0,10,10,40994,4099.400,0,0,0,0,5.068
decode,sweep,1207,5341900100200257542,0,0,0,0,9,9,36901,4100.111,0,0,0,0,5.150
decode,sweep,1208,5341900100200257542,0,0,0,0,7,7,28704,4100.571,0,0,0,0,4.627
decode,sweep,1209,5341900100200257542,0,0,0,0,5,5,20505,4101.000,0,0,0,0,4.581
decode,sweep,1210,5341900100200257542,0,0,0,0,3,3,12304,4101.333,0,0,0,0,4.080
decode,sweep,1211,5341900100200257542,0,0,0,0,2,2,8204,4102.000,0,0,0,0,3.759
context,sweep,1220,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,49.339
context,sweep,1221,5341900100200257542,0,928,1,3168,0,0,0,0.000,0,0,0,0,40.768
decode,sweep,1222,5341900100200257542,0,0,0,0,1,1,4096,4096.000,0,0,0,0,4.344
decode,sweep,1223,5341900100200257542,0,0,0,0,1,1,4097,4097.000,0,0,0,0,3.551
decode,sweep,1224,5341900100200257542,0,0,0,0,1,1,4098,4098.000,0,0,0,0,3.613
decode,sweep,1225,5341900100200257542,0,0,0,0,1,1,4099,4099.000,0,0,0,0,3.614
decode,sweep,1226,5341900100200257542,0,0,0,0,1,1,4100,4100.000,0,0,0,0,3.594
decode,sweep,1227,5341900100200257542,0,0,0,0,1,1,4101,4101.000,0,0,0,0,3.644
decode,sweep,1228,5341900100200257542,0,0,0,0,1,1,4102,4102.000,0,0,0,0,3.606
context,sweep,1237,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,49.418
context,sweep,1238,5341900100200257542,0,928,1,3168,0,0,0,0.000,0,0,0,0,40.491
mixed,sweep,1239,5341900100200257542,0,7392,3,0,1,1,4096,4096.000,0,0,0,0,52.008
mixed,sweep,1240,5341900100200257542,0,3968,3,7392,1,1,4097,4097.000,0,0,0,0,40.467
mixed,sweep,1241,5341900100200257542,0,928,1,3168,3,3,12290,4096.667,0,0,0,0,38.644
decode,sweep,1242,5341900100200257542,0,0,0,0,4,4,16389,4097.250,0,0,0,0,4.829
decode,sweep,1243,5341900100200257542,0,0,0,0,4,4,16393,4098.250,0,0,0,0,4.049
decode,sweep,1244,5341900100200257542,0,0,0,0,4,4,16397,4099.250,0,0,0,0,4.037
decode,sweep,1245,5341900100200257542,0,0,0,0,4,4,16401,4100.250,0,0,0,0,4.063
decode,sweep,1246,5341900100200257542,0,0,0,0,3,3,12302,4100.667,0,0,0,0,4.052
decode,sweep,1247,5341900100200257542,0,0,0,0,3,3,12305,4101.667,0,0,0,0,4.195
decode,sweep,1248,5341900100200257542,0,0,0,0,1,1,4102,4102.000,0,0,0,0,3.536
context,sweep,1257,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,49.137
context,sweep,1258,5341900100200257542,0,4096,2,3168,0,0,0,0.000,0,0,0,0,44.558
mixed,sweep,1259,5341900100200257542,0,928,1,3168,1,1,4096,4096.000,8192,2,0,0,39.798
mixed,sweep,1260,5341900100200257542,0,7392,3,0,2,2,8193,4096.500,40960,10,0,0,52.290
mixed,sweep,1261,5341900100200257542,0,7136,4,7392,2,2,8195,4097.500,32768,8,0,0,50.329
mixed,sweep,1262,5341900100200257542,0,7136,4,6336,4,4,16389,4097.250,24576,6,0,0,50.314
mixed,sweep,1263,5341900100200257542,0,7264,4,5280,6,6,24585,4097.500,16384,4,0,0,51.407
mixed,sweep,1264,5341900100200257542,0,7136,5,8448,7,7,28687,4098.143,12288,3,0,0,51.899
mixed,sweep,1265,5341900100200257542,0,7136,4,7392,9,9,36886,4098.444,4096,1,0,0,52.267
mixed,sweep,1266,5341900100200257542,0,7136,4,6336,10,10,40984,4098.400,0,0,0,0,51.994
mixed,sweep,1267,5341900100200257542,0,5152,3,5280,11,11,45083,4098.455,0,0,0,0,43.012
mixed,sweep,1268,5341900100200257542,0,1856,2,6336,12,12,49190,4099.167,0,0,0,0,39.759
decode,sweep,1269,5341900100200257542,0,0,0,0,12,12,49188,4099.000,0,0,0,0,5.768
decode,sweep,1270,5341900100200257542,0,0,0,0,10,10,40994,4099.400,0,0,0,0,5.015
decode,sweep,1271,5341900100200257542,0,0,0,0,9,9,36901,4100.111,0,0,0,0,5.129
decode,sweep,1272,5341900100200257542,0,0,0,0,7,7,28704,4100.571,0,0,0,0,4.542
decode,sweep,1273,5341900100200257542,0,0,0,0,5,5,20505,4101.000,0,0,0,0,4.620
decode,sweep,1274,5341900100200257542,0,0,0,0,3,3,12304,4101.333,0,0,0,0,4.118
decode,sweep,1275,5341900100200257542,0,0,0,0,2,2,8204,4102.000,0,0,0,0,3.817
context,sweep,1284,5341900100200257542,0,3168,1,0,0,0,0,0.000,0,0,0,0,48.505
context,sweep,1285,5341900100200257542,0,928,1,3168,0,0,0,0.000,0,0,0,0,39.841
