phase,source,lane,group,kclass,start_us,dur_us
prefill_captured,golden,memory,backbone,elementwise,1404.905,2.816
prefill_captured,golden,memory,backbone,elementwise,1407.805,3.968
prefill_captured,golden,memory,backbone,elementwise,1411.956,1.6
prefill_captured,golden,compute,backbone,dense_gemm,1413.701,4.609
prefill_captured,golden,comm,comm,all_reduce,1418.386,22.401
prefill_captured,golden,compute,moe,shared_expert,1542.664,2.528
prefill_captured,golden,compute,backbone,dense_gemm,1545.337,5.344
prefill_captured,golden,compute,backbone,dense_gemm,1545.593,8.608
prefill_captured,golden,compute,moe,router,1550.169,8.128
prefill_captured,golden,compute,moe,shared_expert,1554.905,1.792
prefill_captured,golden,compute,backbone,dense_gemm,1557.081,3.456
prefill_captured,golden,compute,moe,moe_gemm,1559.321,42.689
prefill_captured,golden,compute,backbone,dense_gemm,1599.162,4.64
prefill_captured,golden,compute,moe,moe_gemm,1600.218,24.96
prefill_captured,golden,compute,backbone,dense_gemm,1622.586,2.784
prefill_captured,golden,compute,moe,router,1623.674,4.352
prefill_captured,golden,memory,backbone,elementwise,1625.882,2.24
prefill_captured,golden,memory,backbone,elementwise,1628.214,4.32
prefill_captured,golden,comm,comm,all_reduce,1632.694,1.504
prefill_captured,golden,comm,comm,all_reduce,1634.274,18.432
prefill_captured,golden,memory,backbone,elementwise,1652.79,2.4
prefill_captured,golden,compute,backbone,dense_gemm,1655.266,6.144
prefill_captured,golden,memory,backbone,elementwise,1661.517,1.504
prefill_captured,golden,memory,backbone,elementwise,1663.097,1.888
prefill_captured,golden,memory,backbone,elementwise,1665.069,2.881
prefill_captured,golden,compute,backbone,attention,1668.286,3.36
prefill_captured,golden,compute,backbone,attention,1671.776,10.592
prefill_captured,golden,memory,backbone,elementwise,1682.932,1.536
prefill_captured,golden,compute,backbone,dense_gemm,1684.751,4.576
prefill_captured,golden,comm,comm,all_reduce,1689.403,22.401
prefill_captured,golden,compute,moe,shared_expert,1746.373,2.528
prefill_captured,golden,compute,backbone,dense_gemm,1748.939,4.992
prefill_captured,golden,compute,backbone,dense_gemm,1749.195,8.352
prefill_captured,golden,compute,moe,router,1753.643,7.872
prefill_captured,golden,compute,moe,shared_expert,1758.027,1.632
prefill_captured,golden,compute,backbone,dense_gemm,1759.787,3.52
prefill_captured,golden,compute,moe,moe_gemm,1761.931,36.832
prefill_captured,golden,compute,backbone,dense_gemm,1793.227,4.224
prefill_captured,golden,compute,backbone,dense_gemm,1796.299,4.256
prefill_captured,golden,compute,moe,moe_gemm,1796.843,22.336
prefill_captured,golden,memory,backbone,elementwise,1815.659,2.208
prefill_captured,golden,compute,moe,router,1817.195,4.864
prefill_captured,golden,memory,backbone,elementwise,1818.379,4.32
prefill_captured,golden,comm,comm,all_reduce,1822.905,1.728
prefill_captured,golden,comm,comm,all_reduce,1824.725,17.377
prefill_captured,golden,memory,backbone,elementwise,1842.216,2.72
prefill_captured,golden,compute,backbone,dense_gemm,1844.84,6.496
prefill_captured,golden,compute,backbone,dense_gemm,1849.992,4.192
prefill_captured,golden,compute,backbone,dense_gemm,1853.64,2.4
prefill_captured,golden,memory,backbone,elementwise,1856.117,5.472
prefill_captured,golden,memory,backbone,gdn_mamba,1862.191,6.368
prefill_captured,golden,memory,backbone,gdn_mamba,1868.918,2.336
prefill_captured,golden,memory,backbone,elementwise,1871.605,2.112
prefill_captured,golden,memory,backbone,elementwise,1874.19,7.552
prefill_captured,golden,memory,backbone,elementwise,1882.383,2.016
prefill_captured,golden,memory,backbone,elementwise,1884.895,2.432
prefill_captured,golden,memory,backbone,gdn_mamba,1889.219,2.08
prefill_captured,golden,memory,backbone,gdn_mamba,1909.167,4.192
prefill_captured,golden,memory,backbone,elementwise,1921.195,1.344
prefill_captured,golden,memory,backbone,gdn_mamba,1934.098,13.216
prefill_captured,golden,memory,backbone,gdn_mamba,1965.106,5.952
prefill_captured,golden,memory,backbone,gdn_mamba,1995.213,10.4
prefill_captured,golden,memory,backbone,gdn_mamba,2022.566,5.44
prefill_captured,golden,memory,backbone,elementwise,2049.43,2.144
prefill_captured,golden,memory,backbone,elementwise,2055.152,7.232
prefill_captured,golden,memory,backbone,elementwise,2095.008,1.376
prefill_captured,golden,memory,backbone,elementwise,2096.43,4.0
prefill_captured,golden,memory,backbone,elementwise,2100.575,1.44
