phase,workload_segment,counter_id,worker_id,dp_rank,ctx_tokens,ctx_requests,ctx_kv_tokens,decode_tokens,decode_requests,decode_kv_tokens,mean_decode_kv_tokens,queued_ctx_tokens,queued_ctx_requests,queued_decode_requests,queued_decode_kv_tokens,latency_ms
decode,sweep,99,15190136410644973976,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.039
decode,sweep,100,15190136410644973976,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.158
context,sweep,107,15190136410644973976,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.586
decode,sweep,108,15190136410644973976,0,0,0,0,1,1,4096,4096.000,4096,1,0,0,240.368
mixed,sweep,109,15190136410644973976,0,8191,2,0,1,1,4097,4097.000,0,0,0,0,286.158
mixed,sweep,110,15190136410644973976,0,4097,2,4095,2,2,8194,4097.000,0,0,0,0,111.399
decode,sweep,111,15190136410644973976,0,0,0,0,4,4,16388,4097.000,0,0,0,0,10.846
decode,sweep,112,15190136410644973976,0,0,0,0,4,4,16392,4098.000,0,0,0,0,10.995
decode,sweep,113,15190136410644973976,0,0,0,0,4,4,16396,4099.000,0,0,0,0,10.998
decode,sweep,114,15190136410644973976,0,0,0,0,4,4,16400,4100.000,0,0,0,0,11.258
decode,sweep,115,15190136410644973976,0,0,0,0,3,3,12301,4100.333,0,0,0,0,11.082
decode,sweep,116,15190136410644973976,0,0,0,0,3,3,12304,4101.333,0,0,0,0,11.346
decode,sweep,117,15190136410644973976,0,0,0,0,2,2,8204,4102.000,0,0,0,0,10.789
context,sweep,123,15190136410644973976,0,4096,1,0,0,0,0,0.000,0,0,0,0,114.871
decode,sweep,124,15190136410644973976,0,0,0,0,1,1,4096,4096.000,0,0,0,0,9.920
decode,sweep,125,15190136410644973976,0,0,0,0,1,1,4097,4097.000,0,0,0,0,9.911
decode,sweep,126,15190136410644973976,0,0,0,0,1,1,4098,4098.000,0,0,0,0,9.950
decode,sweep,127,15190136410644973976,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.047
decode,sweep,128,15190136410644973976,0,0,0,0,1,1,4100,4100.000,0,0,0,0,9.946
